,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,Armasl1,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 21:58:16+00:00,Macaronesia.,Twitter for Android,0,0,0,0
1,SurpriseTopics,"Who will win the #redcarpet @willsmith 
Or wind skykes wife ?",2022-03-27 21:56:35+00:00,,Twitter for iPhone,0,0,0,0
2,WHOISNASHEEM,I liked the #LuciferNetflix Show shouting out @willsmith song “two of us” 😂💪🏼💪🏼,2022-03-27 21:56:05+00:00,,Twitter for iPhone,0,0,0,0
3,NostaljiTV_,"The Fresh Prince of Bel Air

#TheFreshPrinceofBelAir #SürprizAkraba #WillSmith https://t.co/ClPPQD7rhV
Will Smith",2022-03-27 21:55:41+00:00,,Twitter Web App,0,0,0,0
4,Superscommesse,"Questa notte ci sono gli #Oscar2022  🏆

Quali saranno i #film premiati? #WillSmith vincerà finalmente il suo primo… https://t.co/h9lLH1GpAE",2022-03-27 21:55:00+00:00,Italy,Twitter Web App,0,0,0,0
5,luisyepesb,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 21:54:01+00:00,Medellín-Colombia,Twitter Web App,0,0,0,0
6,laineyt123,Us Irish had one hour less sleep last night so it's night night time. Hoping to wake up in the morning and read tha… https://t.co/HtldJxIC6n,2022-03-27 21:53:24+00:00,,Twitter for Android,6,0,1,0
7,MinhalAli,"Win $100 Free Give Away Gift Card 

Enter now: https://t.co/uDiXAU5WYL

#WillSmith #Suarez #Oscars2022 #RIPHamilton https://t.co/yhjIjQEItm",2022-03-27 21:53:14+00:00,,Twitter Web App,0,0,0,0
8,whotweet2u,"Bar Gossip! #Oscars2022 
Was sitting next to a guy at a bar that said he organized a private plane for #JaydenSmith… https://t.co/zZuqf5hpNj",2022-03-27 21:53:13+00:00,,Twitter for iPad,0,0,1,0
9,Gomza49263288M,"RT @CriticsChoice: Congratulations to @willsmith - winner of the #Criticschoice Award for Best Actor! @KingRichardFilm 
#CriticsChoiceAward…",2022-03-27 21:51:14+00:00,South Africa,Twitter Web App,0,0,0,0
10,saskia_sordon,"Kiss Kiss #wesleysnipes 
bite round on red carpet and make Beautiful Photo with #willsmith",2022-03-27 21:50:29+00:00,,Twitter for Android,0,0,0,0
11,liamproductions,"RT @jwbourgeois21: OUR PICKS FOR THE 94TH #OSCARS #ACADEMYAWARDS

#TWnRMNSU 
#videopodcast
@MoveNShakeUnltd

THIS WEEK IN REVIEW - 3/27/22…",2022-03-27 21:48:45+00:00,Washington DC,Twitter for Android,0,0,0,0
12,jwbourgeois21,"OUR PICKS FOR THE 94TH #OSCARS #ACADEMYAWARDS

#TWnRMNSU 
#videopodcast
@MoveNShakeUnltd

THIS WEEK IN REVIEW - 3/2… https://t.co/V3ZmptJCJh",2022-03-27 21:48:16+00:00,"Bethesda, MD",Twitter for Android,0,0,0,1
13,langers1975,@TheAcademy I’m expecting #ThePowerOfTheDog #JaneCampion #WillSmith #JessicaChastain #TroyKotsur #arianadebose… https://t.co/LTcseEtBLo,2022-03-27 21:48:14+00:00,"Thame, England",Twitter for iPhone,0,0,0,0
14,fabera02,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 21:47:10+00:00,,Twitter for Android,0,0,0,0
15,MinhalAli,"@Coach_Yac Win $100 Free Give Away Gift Card 

Enter now: https://t.co/Uds8y0IguY

#WillSmith #Suarez #Oscars2022… https://t.co/Ec9gtcl6wO",2022-03-27 21:45:22+00:00,,Twitter Web App,0,0,0,0
16,Elitelife_real,"RT @Elitelife_real: THE MOST UNDERATED SUPERHERO ENDING EVER!!!!!

His flying is so much different than how he was in the beginning of the…",2022-03-27 21:45:19+00:00,New Jersey 🛫 Atlanta,Twitter for iPhone,0,0,0,0
17,victormateos7,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 21:44:56+00:00,,Twitter for iPhone,0,0,0,0
18,msstacey22,"RT @WMorales_BFTV: Best of luck to the Oscar nominees!
@willsmith #denzelwashington @aunjanuejlt @ArianaDeBose @questlove #stanleynelson #t…",2022-03-27 21:44:16+00:00,HTX🤘🏾,Twitter for iPhone,0,0,0,0
19,meinteresatuits,"¿Qué Actor se llevará el #Oscar a Mejor Actor protagonista?

#AndrewGarfield
#BenedictCumberbatch… https://t.co/ewCEjCeFWq",2022-03-27 21:41:51+00:00,México,Twitter for Android,0,0,0,1
20,andrewaloha,"@willsmith @sweatpantstech @bradshoemaker @theFOSSpod Aloha, today, ""Andrew Aloha's Paranormal Experiences"" FREE on… https://t.co/u4nX92uVc0",2022-03-27 21:40:54+00:00,"Flagstaff, AZ",Twitter Web App,1,0,0,0
21,MARIATE77251391,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 21:39:39+00:00,,Twitter for Android,0,0,0,0
22,nosoy__tumedia,"#WillSmith 
Se lo merece por ser un  superactorazo.
Sir Smith ❤

#oscars https://t.co/yR37KOYbxI",2022-03-27 21:38:06+00:00,Disneyland - Paguìs 🎡🎠🎢,Twitter for Android,0,0,0,0
23,jonaholguin,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 21:37:12+00:00,En los cines del mundo 🎥,Twitter for iPhone,0,0,0,0
24,MinhalAli,"@Uptown_Grillz @NBAPaint1 Win $100 Free Give Away Gift Card 

Enter now: https://t.co/Uds8y0IguY

#WillSmith… https://t.co/EMeMzsof2k",2022-03-27 21:37:03+00:00,,Twitter Web App,0,0,0,0
25,merlin_wz,"RT @astrologerpsyc1: (Astrological) Oscar Predictions 2022—
⚡️Best Actor: Will Smith
⚡️Best Actress: Olivia Colman
⚡️Best Supporting: Kirst…",2022-03-27 21:36:57+00:00,lyon,Twitter for iPhone,0,0,0,0
26,Kevin162Kv,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 21:36:46+00:00,,Twitter Web App,0,0,0,0
27,AnnaMudoyAnderb,"RT @ExtraMante: #MejorActor

Esta es una categoría cantada. Se lo darán a #WillSmith por #KingRichard para evitar se siga quejando y dado q…",2022-03-27 21:36:20+00:00,"Can Picafort,Muro, MALLORCA",Twitter for Android,0,0,0,0
28,AnnaMudoyAnderb,RT @Astroworld_News: El epico reencuentro entre #WillSmith (El príncipe de Bel-Air) y #MayimBialik (#Blossom) ❤️ https://t.co/LqsTbrMuNN,2022-03-27 21:35:14+00:00,"Can Picafort,Muro, MALLORCA",Twitter for Android,0,0,0,0
29,Ilive4u4me,I'm here for @willsmith though 110% 🏆 #Oscars2022,2022-03-27 21:34:53+00:00,A Place With No Name ,Twitter Web App,0,0,0,0
30,AnnaMudoyAnderb,RT @cristinadelope: Will Smith tendencia hoy en todos los medios y en twitter. Quedan horas para los Oscars. Está claro que hoy #WillSmith…,2022-03-27 21:33:59+00:00,"Can Picafort,Muro, MALLORCA",Twitter for Android,0,0,0,0
31,MinhalAli,"@DiscussingFilm Win $100 Free Give Away Gift Card 

Enter now: https://t.co/Uds8y0IguY

#WillSmith #Suarez… https://t.co/0e0fsk7Yld",2022-03-27 21:32:41+00:00,,Twitter Web App,0,0,0,0
32,AnnaMudoyAnderb,"RT @JLFuenzalida: Un buen plan para este domingo. Si gustan del deporte y en especial el 🎾 
Está nominada al #Oscar por la gran actuación d…",2022-03-27 21:32:29+00:00,"Can Picafort,Muro, MALLORCA",Twitter for Android,0,0,0,0
33,KCORRadio,"RT @astrologerpsyc1: (Astrological) Oscar Predictions 2022—
⚡️Best Actor: Will Smith
⚡️Best Actress: Olivia Colman
⚡️Best Supporting: Kirst…",2022-03-27 21:32:17+00:00,"Las Vegas, NV",Twitter Web App,0,0,0,0
34,AnnaMudoyAnderb,RT @GabrieleMuccino: Domani sera Will Smith vincerà l’#Oscar che sfiorò per 15 voti con la nostra ricerca della felicità. Lui è sensazional…,2022-03-27 21:31:23+00:00,"Can Picafort,Muro, MALLORCA",Twitter for Android,0,0,0,0
35,astrologerpsyc1,"(Astrological) Oscar Predictions 2022—
⚡️Best Actor: Will Smith
⚡️Best Actress: Olivia Colman
⚡️Best Supporting: Ki… https://t.co/W1KQOILZXf",2022-03-27 21:31:21+00:00,"Brooklyn, NY",Twitter for iPhone,4,0,2,2
36,BillyMann,Congratulations in advance @willsmith it’s gonna be a big night!,2022-03-27 21:28:42+00:00,United States,Twitter for iPhone,1,0,0,0
37,AmitSha24202249,"RT @MinhalAli: Win $100 Free Give Away Gift Card 

Enter now: https://t.co/Uds8y0IguY

#WillSmith #Suarez #Oscars2022 #Hamilton https://t.c…",2022-03-27 21:28:32+00:00,𝙂𝙚𝙩𝙩𝙞𝙣𝙜 𝙙𝙪𝙢𝙥𝙚𝙙 𝙢𝙖𝙣𝙞𝙛𝙚𝙨𝙩𝙚𝙙 𝙝𝙚𝙧 𝙖𝙗𝙪𝙣𝙙𝙖𝙣𝙘𝙚 ➔,amit21155,0,0,0,0
38,MinhalAli,"Win $100 Free Give Away Gift Card 

Enter now: https://t.co/Uds8y0IguY

#WillSmith #Suarez #Oscars2022 #Hamilton https://t.co/m4CXSZk9c5",2022-03-27 21:28:15+00:00,,Twitter Web App,0,0,0,1
39,BRAVO150108,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 21:27:41+00:00,el sótano de Chuy,Twitter for Android,0,0,0,0
40,musicmovieshoop,Does #WillSmith win the Oscar tonight?,2022-03-27 21:24:50+00:00,"Austin, TX",Twitter for iPhone,0,0,0,0
41,_NithinJoshua,"#CODA must win Best Picture.
@willsmith must win Best Actor in a Leading Role.
My $0.02

#Oscars",2022-03-27 21:22:04+00:00,"Chennai, India",Twitter for Android,1,0,0,0
42,Shanno22,"RT @WMorales_BFTV: Best of luck to the Oscar nominees!
@willsmith #denzelwashington @aunjanuejlt @ArianaDeBose @questlove #stanleynelson #t…",2022-03-27 21:20:51+00:00,Houston🤘🏾,Echofon,0,0,0,0
43,EYESNHOUSEHaute,If #WillSmith wins the #Oscar let's immediately celebrate! #victory #KingRichard 🍻 https://t.co/n0ccgtVGzL,2022-03-27 21:20:45+00:00,Kansas to NYC to CA,Twitter Web App,1,0,0,0
44,Lobomarunga22,Hoy gana su Oscar #WillSmith,2022-03-27 21:20:04+00:00,TRABAJADOR PETROLERO,Twitter for Android,0,0,0,0
45,EricaSerpa,"Este é o ano da torcida, hoje a torcida vai para #WillSmith ganhar o #Oscars2022 de Melhor ator em King Richard",2022-03-27 21:19:23+00:00,Sampa_Brasil,Twitter for Android,1,0,0,0
46,TAPIAGPE,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 21:18:51+00:00,México,Twitter for iPhone,0,0,0,0
47,SarcasticBill,"@mchooyah Hate in your heart will consume you, too. #WillSmith",2022-03-27 21:18:15+00:00,Living rent-free in your skull,Twitter for Android,0,0,0,0
48,PizBix,"https://t.co/IB02QQTbRL

Eyes increasingly turned to the protocol @HiFiFinance / @SablierHQ 

#NFT #DeFi… https://t.co/WxA0zhxP3S",2022-03-27 21:17:51+00:00,HiFi Universe!,Twitter for Android,0,0,0,0
49,davidproano12,"Mis predicciones para los #Oscar #Oscars2022 :
Best picture: #ThePoweroftheDog  or #Belfast 
Best director:… https://t.co/UfE5M3hb44",2022-03-27 21:16:33+00:00,"Quito, Ecuador",Twitter for iPhone,1,0,0,0
50,Salvado43061975,RT @bappletree: Bradley Cooper is so good. Now onto King Richard with @willsmith #nowwatching #Oscars,2022-03-27 21:14:19+00:00,,TwittoMe,0,0,0,0
51,MagaMagaoz,"RT @WeCinema: Domenica la 94^ ed. degli #Oscar: favoriti #JaneCampion, #JessicaChastain e #WillSmith. L’Italia tifa per #ÈStataLaManoDiDio…",2022-03-27 21:13:59+00:00,"Torino, Piemonte",Twitter for Android,0,0,0,0
52,carinasandragme,"Gran actuacion de @willsmith en ""Rey Williams"" en la del Padre/ entrenador de Venus y Serena Williams en una sembla… https://t.co/2WOLxqH1fy",2022-03-27 21:13:29+00:00,,Twitter Web App,0,0,0,0
53,cineylibertad,RT @cineylibertad: #ElMétodoWilliams-6 nominaciones a los #Oscar  y el amor de la #Familia  por encima del éxito deportivo.¿#WillSmith es e…,2022-03-27 21:13:12+00:00,,Twitter for Android,0,0,0,0
54,bappletree,Bradley Cooper is so good. Now onto King Richard with @willsmith #nowwatching #Oscars,2022-03-27 21:12:54+00:00,"SF Bay Area, CA",Twitter for iPhone,0,0,0,1
55,JiMaL_mchOF,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 21:08:25+00:00,"Callao, Peru",Twitter for Android,0,0,0,0
56,avilancaro,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 21:08:20+00:00,,Twitter for Android,0,0,0,0
57,CinemaLeumas,"RT @CinemaLeumas: 42° Razzie Awards Ganadores!! Premiando LO PEOR!! (Directo) https://t.co/hvJyCMekGa

#Razzie #Razzies #TheRazzies #DianaT…",2022-03-27 21:07:17+00:00,"Querétaro Arteaga, México",Twitter for iPhone,0,0,0,0
58,CinemaLeumas,"RT @Calvo_Amaro: 42° Razzie Awards Ganadores!! Premiando LO PEOR!! (Directo) https://t.co/uozwBqCYph

#Razzie #Razzies #TheRazzies #DianaTh…",2022-03-27 21:07:13+00:00,"Querétaro Arteaga, México",Twitter for iPhone,0,0,0,0
59,Calvo_Amaro,"RT @Calvo_Amaro: 42° Razzie Awards Ganadores!! Premiando LO PEOR!! (Directo) https://t.co/uozwBqCYph

#Razzie #Razzies #TheRazzies #DianaTh…",2022-03-27 21:06:58+00:00,"Querétaro Arteaga, México",Twitter for iPhone,0,0,0,0
60,Atom_Line_2,@KendallJenner @KimKardashian @KrisJenner @CIA @SecretService @WhiteHouse @FBI @Trainer4663 @AlzfreeDom1… https://t.co/wE6hXvJSTd,2022-03-27 21:06:53+00:00,"Tunis, Tunisia.",Twitter Web App,0,0,0,0
61,Calvo_Amaro,"RT @CinemaLeumas: 42° Razzie Awards Ganadores!! Premiando LO PEOR!! (Directo) https://t.co/hvJyCMekGa

#Razzie #Razzies #TheRazzies #DianaT…",2022-03-27 21:06:45+00:00,"Querétaro Arteaga, México",Twitter for iPhone,0,0,0,0
62,LunitaVida,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 21:06:41+00:00,,Twitter for Android,0,0,0,0
63,Learning_Movies,"It’s officially two hours until @TheAcademy Awards so I’m locking in my Oscar picks now, best of luck to all the no… https://t.co/8epd6wby75",2022-03-27 21:06:34+00:00,"New Jersey, USA",Twitter for iPhone,0,0,0,0
64,HMitchellnyc,"RT @WMorales_BFTV: Best of luck to the Oscar nominees!
@willsmith #denzelwashington @aunjanuejlt @ArianaDeBose @questlove #stanleynelson #t…",2022-03-27 21:05:45+00:00,"Minneapolis, MN",Twitter for iPhone,0,0,0,0
65,Lamar_Alphonso,Rooting for #WillSmith @jes_chastain &amp; @aunjanuejlt tonight! #Oscars2022 #Oscar,2022-03-27 21:05:26+00:00,"New York, NY",Twitter for Android,1,0,0,0
66,CrimeandtellMae,Finally finished @KingRichardFilm . All I have to say is wow. Wow Richard. Wow @Venuseswilliams ! Wow… https://t.co/0by0tJzGLu,2022-03-27 21:04:48+00:00,,Twitter for iPhone,0,0,0,0
67,alex1ero,"#Oscars2022
Mejor actor

Ganará: Will Smith (Más por trayectoria)
Podría ganar: Benedict Cumberbatch o Andrew Garfi… https://t.co/JCxvrGUh1y",2022-03-27 21:04:29+00:00,México,Twitter for iPhone,8,0,0,0
68,Ederne_F,"Esta noche tocan #Oscars
Tengo quiniela pero creo que no  voy a dar ni una. Por si acaso, aquí dejo mis favoritas.… https://t.co/ducAFctw5b",2022-03-27 21:03:09+00:00,Berango - Bilbao - Castromocho,Twitter for Android,3,0,1,0
69,xcx_kidd,RT @RockTheBells: Today is the #AcademyAwards. Wishing extra good luck to the one and only #WillSmith 🌹 https://t.co/WGJWcNun6m,2022-03-27 21:01:39+00:00,United States,Twitter Web App,0,0,0,0
