,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,was_dem,"RT @Shaughn_A2: Man…the more I hear about #JadaPinkettSmith, the more I literally DESPISE her! I’m not excusing what #WillSmith did to #Chr…",2022-04-09 21:58:28+00:00,Gotham,Twitter Web App,0,0,0,0
1,DnevniAvaz,NAKON INCIDENTA / Sinoć je objavljeno da je glumcu zabranjeno prisustvovati događajima Akademije 10 godina nakon št… https://t.co/rUY93tFNEp,2022-04-09 21:58:00+00:00,Sarajevo,Twitter Web App,0,0,1,0
2,ShalleneHolley,Stop-and-watch movies whenever they’re on TV: Grownups &amp; Grownups 2. Thank YOU for making these @AdamSandler… https://t.co/WQi0Sx7zbj,2022-04-09 21:57:58+00:00,"Toronto, Ontario",Twitter for iPhone,5,0,0,0
3,PengellyTracy,"@chrisrock please go and see will
And jada and say something before this trial
By social
Media destroys them 
Xxx",2022-04-09 21:56:24+00:00,,Twitter Web App,0,0,0,0
4,KempireRadio,#ICYMI: DJ Jazzy Jeff Defends Will Smith: There's Been 50 Times He Should've Sma... https://t.co/gFhlkFnR2P… https://t.co/1vdPI5Cgyi,2022-04-09 21:55:00+00:00,NYC,TweetDeck,0,0,0,1
5,ImTheCurmudgeon,"Girl at the table next to us at lunch was defending Will Smith, saying that @chrisrock made a really bad joke. Then… https://t.co/oktRbmCBSL",2022-04-09 21:54:40+00:00,Los Angeles,Twitter for iPhone,1,0,2,0
6,Mohdfaiz13,"RT @ohtweet: Pihak Akademi Akhirnya Umumkan Hukuman Ke Atas Will Smith, Anugerah Oscar Tidak Ditarik? | https://t.co/zxgzTjgzjU #ChrisRock…",2022-04-09 21:53:07+00:00,"Shah Alam, Selangor",Twitter for iPhone,0,0,0,0
7,ManaMaia,#WillSmith foi banido do #Oscar por 10 anos por causa do tapa que deu em #ChrisRock. Será que Chris Rock será banid… https://t.co/kkJQK1NzeO,2022-04-09 21:52:30+00:00,"Rio de Janeiro, Brasil",Twitter for Android,0,0,0,0
8,Sandra47764,@auntieda276 @chrisrock That's what jokes are for 🙄,2022-04-09 21:52:29+00:00,,Twitter for Android,0,0,0,0
9,RobertD97701804,"As you know, #BlackLivesMatter needs to cancel the #bojangles @chrisrock but on this platform we continue to vilify… https://t.co/C5BjliwqIQ",2022-04-09 21:52:22+00:00,"Dallas, Texas",Twitter Web App,0,0,0,1
10,F_J_Jackson_,#ChrisRock #WillSmith https://t.co/0DE9wioeQt,2022-04-09 21:52:20+00:00,Oregon,Twitter for iPhone,0,0,0,0
11,MusashiCrypto,"RT @Shaughn_A2: Man…the more I hear about #JadaPinkettSmith, the more I literally DESPISE her! I’m not excusing what #WillSmith did to #Chr…",2022-04-09 21:52:19+00:00,Japan,Twitter for Android,0,0,0,0
12,ReverieCrimePod,"So true.

📷: truecrimeandpizza on IG

#48hours #dateline #abc2020 #oxygen #investigation #discovery #IDchannel… https://t.co/IMcadGdXv4",2022-04-09 21:49:09+00:00,"Mississippi, USA",Twitter for iPhone,9,0,1,0
13,antroe,I never liked her. Their marriage was always weird. I guess this shows she is the boss and that’s why he acted like… https://t.co/Q1fAGrLSGR,2022-04-09 21:47:11+00:00,South Philly,Twitter for iPhone,0,0,0,0
14,handiclapper,"RT @Shaughn_A2: Man…the more I hear about #JadaPinkettSmith, the more I literally DESPISE her! I’m not excusing what #WillSmith did to #Chr…",2022-04-09 21:46:52+00:00,canada,Twitter for Mac,0,0,0,0
15,deviittt,RT @seraozkn: Enfaite #ChrisRock à gâché ce qui allait peut-être devenir la plus belle soirée de la vie de Will Smith. #Oscars #Oscars2022…,2022-04-09 21:46:49+00:00,"Aydın, Türkiye",Twitter for Android,0,0,0,0
16,testabassa,"@RaiTelevideo 
#WillSmith l'Oscar l'ha vinto dopo, non prima dello schiaffo a #ChrisRock come scrivete voi. https://t.co/3kHAaUic7e",2022-04-09 21:45:33+00:00,Altrove,Twitter for Android,0,0,0,0
17,SwampPump,"Now it’s up to @chrisrock!
Chris???",2022-04-09 21:45:23+00:00,Leading The Way,Twitter for iPhone,0,0,0,0
18,JamesSi89212443,"@davidalangrier @HarryLennix Opinion Piece expresses, “The only hope for a justifiable grace must involve Smith vol… https://t.co/KB3KcJq3Tm",2022-04-09 21:44:23+00:00,"Long Beach, CA",Twitter for iPhone,0,0,0,0
19,Dutchmanager,@RollingStone That is good. And now: How long will the comic be banned for making fun of people with severe illness… https://t.co/7envACOIHj,2022-04-09 21:44:21+00:00,"Veenendaal, Netherlands",Twitter for iPhone,0,0,3,0
20,kiki_varela,@rafalitosarmi Sanción p ChrisRock.,2022-04-09 21:43:34+00:00,,Twitter for Android,0,0,0,0
21,CryptoTepache,"RT @BeatlesBunny: Le hicieron justicia a Will Smith y Jada Pinkett

Un hombre de color cacheteó a otro hombre de color 

#WillSmith #Jada #…",2022-04-09 21:41:15+00:00,,Twitter Web App,0,0,0,0
22,kwrsyfj,"RT @Tawan_LastSong: ทีมจัดงาน #Oscars2022 ต้องแสดงค.รับผิดชอบ เสียใจ
ต่อทั้งคู่ #WillSmith และ #ChrisRock ในเหตุการณ์นี้
จะทำลอยตัวเหนือปัญ…",2022-04-09 21:41:08+00:00,"Tokyo-to, Japan",Twitter for Android,0,0,0,0
23,hirozhen,@alwyztrouble21 @jadapsmith @chrisrock Then why dont u audition?,2022-04-09 21:39:16+00:00,Canada,Twitter for Android,0,0,1,0
24,paws4thecause92,"RT @MsAJF: So … Jada Pinkett Smith was offended last night at the Oscars, but not 6 days ago on Tik Tok? 🤔 #WilllSmith #JadaPinkettSmith #C…",2022-04-09 21:38:07+00:00,,Twitter for Android,0,0,0,0
25,HarryEdWatson,Wann wird eigentlich #ChrisRock wegen #BodyShaming überall rausgeschmissen und gecancelt? 🤔 #WillSmith,2022-04-09 21:37:21+00:00,Erde,Twitter Web App,0,0,0,0
26,LaVwga,"RT @FightersMagz: 🚨🔥 Ándele por p… Los #Oscar suspenden a Will Smith por 10 años.

#WillSmith no podrá asistir a los Premios de la Academia…",2022-04-09 21:37:05+00:00,,Twitter for iPhone,0,0,0,0
27,cegriff3,"@Andre1Renee Like to hear an apology from @chrisrock. Not defending Will Smith by any means, but Rock’s “joke” was… https://t.co/yuKUNTH7ik",2022-04-09 21:36:57+00:00,Connecticut,Twitter for iPhone,0,0,0,0
28,elisebutcool,@alexcollyard @chrisrock 🫢🫢🫢,2022-04-09 21:36:13+00:00,United States,Twitter for iPhone,0,0,0,0
29,miztaclint,"RT @only1astr0: No Body!! Touches Chris ROCK! 😂
Who Remember this Movie?! 

Song Title:AJIGIJA by Astroboy (Myself😊) X @WhiteFlavourOD  🎶…",2022-04-09 21:35:59+00:00,"Lagos, Nigeria",Twitter for iPhone,0,0,0,0
30,lordhenryIII,"RT @only1astr0: No Body!! Touches Chris ROCK! 😂
Who Remember this Movie?! 

Song Title:AJIGIJA by Astroboy (Myself😊) X @WhiteFlavourOD  🎶…",2022-04-09 21:35:55+00:00,,Twitter for Android,0,0,0,0
31,PistolaSampras,"RT @PeteFighter: OK……. This one wins!!
#WillSmith #Oscars2022 #ChrisRock #StreetFighter 

By bruscopa (tiktok) https://t.co/3d3xn8MlUe",2022-04-09 21:35:40+00:00,,Twitter for iPhone,0,0,0,0
32,thelastshow,"RT @thelastshow: VERDICT 

Will Smith has been #banned from the #Oscars  and other #filmacademy events for #10years for #slapping #ChrisRoc…",2022-04-09 21:35:07+00:00,North Carolina,Twitter Web App,0,0,0,0
33,DominikFalcone,#Slapstick #Hollywood #humor #TheThreeStooges #WillSmith #ChrisRock https://t.co/h0ADhKzwhU,2022-04-09 21:34:59+00:00,,Twitter for Android,0,0,0,0
34,thelastshow,"RT @thelastshow: Watch ""Will Smith BANNED from Oscars for 10 years for slapping Chris Rock"" on #YouTube

#WillSmith #banned #Oscars #10year…",2022-04-09 21:34:52+00:00,North Carolina,Twitter Web App,0,0,0,0
35,XL2LETTERS,"RT @only1astr0: No Body!! Touches Chris ROCK! 😂
Who Remember this Movie?! 

Song Title:AJIGIJA by Astroboy (Myself😊) X @WhiteFlavourOD  🎶…",2022-04-09 21:33:07+00:00,Lagos,Twitter for Android,0,0,0,0
36,OIAA1987,RT @EpochTimes: #WillSmith cannot attend the #Oscars for the next 10 years after he slapped comedian #ChrisRock during the awards show last…,2022-04-09 21:33:03+00:00,Quito-Ecuador,Twitter for Android,0,0,0,0
37,liztweetshere,"RT @liztweetshere: W. Smith is full of shit, makes videos about being a good person, ironic since he is a thin skinned bully controlled by…",2022-04-09 21:32:35+00:00,,Twitter for iPhone,0,0,0,0
38,Kaur26Nikki,@TheRajivAdatia @chrisrock Also ‘Swingers lifestyle’ and ‘Alopecia’ are two complete separate topics. Your point has no stance.,2022-04-09 21:32:14+00:00,,Twitter for iPhone,0,0,0,0
39,KelJames79,So #Chrisrock is presenting best actor next year at the #oscars right?,2022-04-09 21:31:56+00:00,"Vancouver, British Columbia",Twitter for Android,4,0,0,0
40,AnaAlfa67834723,"RT @Plano_Cinema: 🎵NO HABLAMOS DE JADA NO, NO NO... 🎵🤣 

Checa la PARODIA de James Corden (SUBTITULADO)

#WillSmith #ChrisRock #JadaPinkett…",2022-04-09 21:31:44+00:00,El Salvador,Twitter for Android,0,0,0,0
41,Yogi_Yugendhar,"RT @BerkleyBearNews: Man of Steel's Harry Lennix Says Will Smith ""Must Return"" Best Actor Oscar https://t.co/9K9yPdNv4v #AcademyAwards #Man…",2022-04-09 21:31:12+00:00,"LEXINGTON, KY 🇺🇸",IntroTwitter,0,0,0,0
42,voltacupolata,"RT @mitchLAURENZANA: #WillSmith bandito da tutti gli eventi Academy per i prossimi dieci anni.
Chissá se lo faranno anche con i coinvolti i…",2022-04-09 21:31:01+00:00,LETARGO,Twitter for Android,0,0,0,0
43,SKPopCulture,"#WillSmith &amp; his gracious response to the Academy's Decision on banning him ⏩https://t.co/A3DXmLCf2C
.
.
.… https://t.co/84FuIG38Ox",2022-04-09 21:30:50+00:00,United States,Twitter for Android,0,0,0,0
44,AnaAlfa67834723,RT @Segismu26045381: Will Smith y Chris Rock dándose la mano y zanjando el tema. Se ve como Rock llora pidiendo disculpas a W.Smith y este…,2022-04-09 21:30:35+00:00,El Salvador,Twitter for Android,0,0,0,0
45,SunSandySeas,"RT @alideloach1: Will Smith when he heard Chris Rock's joke about Jada

#WillSmith #ChrisRock #JadaPinkettSmith https://t.co/htvQGGcGRs",2022-04-09 21:30:11+00:00,"Florida, USA",Twitter for iPhone,0,0,0,0
46,Kaur26Nikki,@TheRajivAdatia @chrisrock Are you saying the thousands of people who hand in hand to organise the Oscars did not k… https://t.co/eLgy1D0hM6,2022-04-09 21:29:29+00:00,,Twitter for iPhone,0,0,0,0
47,Ty67521954,"RT @mayoisglue: Ty Gibbs + Sam Mayer copy Will smith
#theslap #martinsville #chrisrock #willsmith #NASCAR #JadaPinkettSmith #memes https://…",2022-04-09 21:29:19+00:00,,Twitter for iPhone,0,0,0,0
48,BrunesZane,"RT @Shaughn_A2: Man…the more I hear about #JadaPinkettSmith, the more I literally DESPISE her! I’m not excusing what #WillSmith did to #Chr…",2022-04-09 21:28:53+00:00,,Twitter Web App,0,0,0,0
49,thetalentguru,".@NASCAR #WillSmith #ChrisRock #JadaPinkett #Oscars #Blacktwitter
Ty GIbbs &amp; Sam Mayer fight

""I saw the #Nascar PU… https://t.co/JzOPw4MuNu",2022-04-09 21:28:41+00:00,archewell.com,Twitter Web App,0,0,0,0
50,SeniorChief58,"""You know what men want Food Sex Silence....Feed me fuck me Shut the Fuck up""...""When you meet a woman first, you m… https://t.co/hwJyFrikGM",2022-04-09 21:27:59+00:00,"Richmond, TX",Twitter for Android,0,0,0,0
51,BerkleyBearNews,"Man of Steel's Harry Lennix Says Will Smith ""Must Return"" Best Actor Oscar https://t.co/9K9yPdNv4v #AcademyAwards… https://t.co/sRsjHYS2qy",2022-04-09 21:27:07+00:00,Doghouse,dlvr.it,0,0,0,1
52,LeiidyEnciiso,"RT @Showhbo: @GabyMeza8 Y a @chrisrock que pasa, nadie lo va a sancionar por reírse y ridiculizar la enfermedad de una persona? Pero en que…",2022-04-09 21:25:57+00:00,"London, UK♡",Twitter for Android,0,0,0,0
53,gallyun,"RT @lovelyti: Will Smith is no longer allowed to ""attend any Academy events or programs, in person or virtually,"" for the next decade. 

Wi…",2022-04-09 21:25:18+00:00,Florida/California,Twitter for Android,0,0,0,0
54,GautamKarve,"#WillSmith banned from #Oscars for 10 years after slapping #ChrisRock.

@TheAcademy",2022-04-09 21:24:15+00:00,World,Twitter for Android,0,0,0,0
55,Trinity_Lyfe,"RT @alideloach1: Will Smith when he heard Chris Rock's joke about Jada

#WillSmith #ChrisRock #JadaPinkettSmith https://t.co/htvQGGcGRs",2022-04-09 21:22:48+00:00,,Twitter for Android,0,0,0,0
56,tcga20llc,"RT @chrisrock: AUSTRALIA &amp; NEW ZEALAND! After 5 years, I’m returning with my Ego Death World Tour 2022 this August.
I can’t wait. Tickets o…",2022-04-09 21:22:28+00:00,United States,Twitter Web App,0,0,0,0
57,mrushelmore,"RT @alideloach1: Will Smith when he heard Chris Rock's joke about Jada

#WillSmith #ChrisRock #JadaPinkettSmith https://t.co/htvQGGcGRs",2022-04-09 21:21:04+00:00,,Twitter Web App,0,0,0,0
58,shalondis1,#JadaPinkettSmith put the hit out on #ChrisRock  with the side eye #hitmansideeye,2022-04-09 21:20:46+00:00,IN HELL WITH THE REST ,Twitter for iPhone,0,0,0,0
59,TeamCastagnet,RT @F2Washington: 🏆 Will #Smith a l’interdiction d’assister à la cérémonie des #Oscars pendant 10 ans après sa gifle infligée à #ChrisRock.…,2022-04-09 21:20:28+00:00,Paris,Twitter Web App,0,0,0,0
