,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,DamicraticRadio,"#ChrisRock is keeping mum. The comedian took the stage at a casino in Palm Springs to address the #Oscars slap. 

S… https://t.co/CcANHpQ04O",2022-04-12 07:58:09+00:00,everywhere,Instagram,0,0,0,0
1,t_mack112,@HomerSi25687423 @chrisrock Yes they actually do help when someone is short of breath due to their lungs closing in… https://t.co/GWiDc2zTPW,2022-04-12 07:56:40+00:00,"Los Angeles, CA",Twitter for Android,1,0,0,0
2,permafrost1979,"@cynfromflorida @OhmegaPhenomena @Variety @chrisrock Nope, the jokes in the last 2 weeks have been even worse than what Chris said...",2022-04-12 07:56:24+00:00,Washington State,Twitter for Android,1,0,0,0
3,FMHi769,RT @FMHi769: #fmhi #ゆうラジ #火曜 #水都生ュレーションRadio 17:15 #rodam さんこと #岩崎慎一 さんの #ID数秘 鑑定 #Oscars #ChrisRock #WillSmith アカデミー会員辞退&amp;10年出禁を言い渡されたウィルスミ…,2022-04-12 07:44:03+00:00,静岡市葵区七間町8-20,Twitter for iPhone,0,0,0,0
4,ET_TweetTweet,RT @LWOtteson: @joerogan Did you walk into a theater of these too? @andrewschulz @chrisrock @SouthPark @carlosmencia @comedystoreuk @netfli…,2022-04-12 07:42:13+00:00,"California, USA",Twitter for iPhone,0,0,0,0
5,Tiemotalk,Will Smith Oscars Meltdown - Is this a watershed moment for freedom of speech for comedians and hosts?… https://t.co/5S1MGT3fUX,2022-04-12 07:42:08+00:00,London,Twitter for Android,0,0,0,0
6,zapadon,"RT @Oshimiri1: This is someone's future husband. Oscar Daniel is a waiting disaster.
@SavvyRinu @renoomokri 
#Daniel #Marriage #ChrisRock h…",2022-04-12 07:40:11+00:00,Oyo town.,Twitter Web App,0,0,0,0
7,sadcmuzzy,@chrisrock fuck you ruin someone else's life over a joke just fucking give up telling jokes u twat,2022-04-12 07:37:47+00:00,,Twitter for Android,0,0,0,0
8,Trey_Wilkinson1,"@Ricardo40915281 @HOT97 @chrisrock Will Had No Right To Hit @chrisrock And He Had No Right Saying Those Things, Eve… https://t.co/YDQYoQOeit",2022-04-12 07:36:35+00:00,"Cape Town, South Africa",Twitter for Android,0,0,0,0
9,QuizQua,"▶️Play Qua's quiz (4-12-22) ""Chris Rock 2🎬""❗
🔗https://t.co/GyEkdUKMce

Don't forget to claim your 50 COINS + coins… https://t.co/g7c3nkNpOC",2022-04-12 07:34:34+00:00,India,Twitter for Android,0,0,0,0
10,cgh10mj,"@MikeGaDawg @MonicaKPearson @chrisrock Neither is verbal abuse, it's a thin line, know where to draw it, I agree vi… https://t.co/31MYA7BkQj",2022-04-12 07:31:59+00:00,,Twitter for Android,0,0,0,0
11,AngelaEnYuLao,"https://t.co/XoclmMxowV

#willsmith #香港特首 #beckham #davidbeckham #brooklynbeckham #澳門蛋 #方艙醫院 #fieldhopital #france… https://t.co/oSh1z6FFEq",2022-04-12 07:28:27+00:00,Macau,Twitter for iPhone,0,0,0,0
12,Polly_Stanle,"@DavidSpade @chrisrock Guys, let's  cchat?",2022-04-12 07:27:16+00:00,,Twitter Web App,0,0,0,0
13,noorgad42100986,RT @0xCryptoJesus: Wowwww #Oscars #WillSmith #chrisrock uncut footage taken from Japanese TV. He smacked tf out of him 😳 https://t.co/gy9bv…,2022-04-12 07:26:25+00:00,,Twitter Web App,0,0,0,0
14,Hijinkz,@chrisrock your ego ain’t dead,2022-04-12 07:25:33+00:00,"Portland, OR",Twitter for iPhone,0,0,0,0
15,yahyaandyahya,@chrisrock atau @willsmith ? Menurut bang @pandji.pragiwaksono siapa dan kenapa ya? Cek deh lengkapnya di… https://t.co/ojYjSNfLMy,2022-04-12 07:23:57+00:00,"DKI Jakarta, Indonesia",Twitter for Android,0,0,0,0
16,emefeci_africa,RT @asemota: “The beauty is being black is that the future is always better. There ain't no good old days” - @chrisrock,2022-04-12 07:22:42+00:00,,Twitter for iPhone,0,0,0,0
17,nurlan220690,RT @0xCryptoJesus: Wowwww #Oscars #WillSmith #chrisrock uncut footage taken from Japanese TV. He smacked tf out of him 😳 https://t.co/gy9bv…,2022-04-12 07:16:03+00:00,,Twitter Web App,0,0,0,0
18,TrevorNcube,"RT @ConvoWithTrevor: If I were @willsmith's PR consultant I would have gotten to him and said get on the stage now, apologise - you were wr…",2022-04-12 07:12:59+00:00,Harare ,Twitter for iPad,0,0,0,0
