,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,me_llaman_pani,"RT @FightersMagz: ☹️🔥 Jada Pinkett le da la espalda a su esposo, Will Smith.

Ella le fue infiel con un amigo de su hijo. Él la perdonó y c…",2022-04-08 08:58:34+00:00,Freak Show ,Twitter for iPhone,0,0,0,0
1,Fangirls158,RT @MarvelMultive: #Rocket #CaptainAmerica #WillSmith #Oscars https://t.co/Aut9LBzR2D,2022-04-08 08:58:06+00:00,🕒for all time always 🕟,Twitter for Android,0,0,0,0
2,TikiPumpkin,"@willsmith Damn, nice streak. I always mess up and miss a day. TwT",2022-04-08 08:57:43+00:00,Pacific Northwest,Twitter Web App,0,0,0,0
3,PrettyBoiflow,"Ayo, fuck @amyschumer 1000%. “I’m feeling triggered by @willsmith”… bitch, how bout you focus on writing literally… https://t.co/Pvmpe3Z0M1",2022-04-08 08:57:21+00:00,,Twitter for iPhone,1,0,0,0
4,Tahakhalid0,RT @dustinnope: Will Smith Slap but it's A Stop Motion Animation. #fyp #dustinnope #claymotion #willsmith #willsmithslapschrisrock #willsmi…,2022-04-08 08:57:07+00:00,,Twitter Web App,0,0,0,0
5,baladanmeri,"#JadaPinkettSmith #WillSmith Jada Cried on Wedding Day, 'Never Wanted to Be Married' to Will Smith: Jada Pinkett Sm… https://t.co/KZ7IdFwaq1",2022-04-08 08:56:06+00:00,"Somerset, United Kingdom",dlvr.it,3,0,2,1
6,BristiA92549196,RT @dustinnope: Will Smith Slap but it's A Stop Motion Animation. #fyp #dustinnope #claymotion #willsmith #willsmithslapschrisrock #willsmi…,2022-04-08 08:55:59+00:00,,Twitter Web App,0,0,0,0
7,applemilf,"https://t.co/xXvY1IrYCa 

#pawg #bigass #tomholland #harrykane #WillSmith",2022-04-08 08:55:16+00:00,,Twitter Web App,0,0,0,0
8,KingingBanting,RT @SlackazRemix: 👀 Brother Tony Rock sends shots at Will &amp; Jada on stage. #chrisrock #willsmith https://t.co/hFLFT7u6GH,2022-04-08 08:54:19+00:00,,Twitter for iPhone,0,0,0,0
9,MundodeWolf,"Ser #WillSmith y que te critique todo cristo tiene un pase, pero que tu propia mujer te deje de lado y te ponga a c… https://t.co/48xxEBDVlM",2022-04-08 08:53:14+00:00,"Coslada, España",Twitter for Android,1,0,1,0
10,kabwit_jr,"@Vanessambiya2 @willsmith Voilà là où réside le problème, un vrai homme, un homme qui tient à sa dignité, n' accept… https://t.co/Z5H6gOOJTl",2022-04-08 08:52:46+00:00,RDC\ LUALABA( KOLWEZI),Twitter for Android,0,0,1,0
11,abhishe29858670,RT @dustinnope: Will Smith Slap but it's A Stop Motion Animation. #fyp #dustinnope #claymotion #willsmith #willsmithslapschrisrock #willsmi…,2022-04-08 08:49:59+00:00,,Twitter Web App,0,0,0,0
12,dasa70170592,RT @metejones: Will slapped Chris back to Pookie… whoa #Oscars #AcademyAwards #AcademyAwards2022 #chrisrock #willsmith https://t.co/dO4bh9h…,2022-04-08 08:49:52+00:00,,Twitter Web App,0,0,0,0
13,RHarlique,RT @dustinnope: Will Smith Slap but it's A Stop Motion Animation. #fyp #dustinnope #claymotion #willsmith #willsmithslapschrisrock #willsmi…,2022-04-08 08:49:24+00:00,Sri Lanka,Twitter Web App,0,0,0,0
14,marberutich,"📰 @jadapsmith dice que Will Smith ""exageró"" en los Oscar: ""No necesito protección"". 

Desde luego que no la necesit… https://t.co/lANyGTepcH",2022-04-08 08:48:37+00:00,"Madrid, España",Twitter for Android,0,0,0,0
15,Lemar_23,"@nayett @willsmith @jadapsmith Pobre Will, corre perro, correeeeeeee!!!!",2022-04-08 08:48:06+00:00,Palma de Mallorca,Twitter for iPhone,0,0,0,0
16,auralanae,I really want Shaniqe to #willsmith Madelyn. I cannot stand her.  #TheUltimatum,2022-04-08 08:47:10+00:00, TX MAANNNN!!!,Twitter for Android,3,0,0,0
17,i_maws,"RT @engelfonseca: Impresionante la frase de #DenzelWashington después de la reacción de #WillSmith  "" Ten cuidado en tu mejor momento, es c…",2022-04-08 08:46:49+00:00,México,Twitter Web App,0,0,0,0
18,seergioorodb,Si hombre una calva que se la ha tirado hasta el apuntador te ha humillado guaje @willsmith https://t.co/4wxlIH2Ei1,2022-04-08 08:46:26+00:00,"Valladolid, España",Twitter for Android,0,0,0,0
19,V1p3R_cash,RT @dustinnope: Will Smith Slap but it's A Stop Motion Animation. #fyp #dustinnope #claymotion #willsmith #willsmithslapschrisrock #willsmi…,2022-04-08 08:45:16+00:00,"Durban, South Africa",Twitter Web App,0,0,0,0
20,KaspianL,"Following the Oscar slap, which is your favourite Hollywood Slap?

#Hollywood #slap #movie #FilmTwitter #WillSmith… https://t.co/kpcnEqG9Nk",2022-04-08 08:44:46+00:00,"London, England",Twitter for Android,1,0,0,1
21,moneymon1337,"RT @drboycewatkins1: This video made me sad.  

This is highly inappropriate. 

My wife @coachingwithdralicia and I have a few things to sa…",2022-04-08 08:44:11+00:00,,Twitter Web App,0,0,0,0
22,FuckinTheWorld_,"Yo watch this man twitch. Funny as hell 😂😂

https://t.co/2a4Pr4szDa #warzone #twitch #grammy #oscar #guns #war… https://t.co/0GHFyOedtR",2022-04-08 08:43:13+00:00,"Los Angeles, CA",Twitter for iPhone,1,0,0,0
23,sina16541301,RT @dustinnope: Will Smith Slap but it's A Stop Motion Animation. #fyp #dustinnope #claymotion #willsmith #willsmithslapschrisrock #willsmi…,2022-04-08 08:42:18+00:00,,Twitter Web App,0,0,0,0
24,wtxnewsusa,"#TheMetro - Billy Crystal brands Will Smith’s Oscars slap ‘assault’ and ‘most disturbing incident’

#Oscars2022… https://t.co/5TX2OS8f3A",2022-04-08 08:41:54+00:00,New York,WordPress.com,0,0,0,0
25,miguel4_zola,RT @dustinnope: Will Smith Slap but it's A Stop Motion Animation. #fyp #dustinnope #claymotion #willsmith #willsmithslapschrisrock #willsmi…,2022-04-08 08:41:36+00:00,,Twitter Web App,0,0,0,0
26,lanouvellevie_,RT @kacikprens: Konuşmasak olmazdı! #WillSmith #ChrisRock #willsmithchrisrock  #Oscar #psikoloji #sosyalpsikoloji #türkçepodcast https://t.…,2022-04-08 08:40:56+00:00,London,Twitter Web App,0,0,0,0
