,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,djdonjon187,"@pember_emily @RealGilbert @chrisrock 😂😂😂👌🏽, Karen",2022-04-15 08:51:58+00:00,"DULUTH, MN ",Twitter for iPhone,2,0,0,0
1,RickyKang88,Do people remember epi2 of the office when Michael scott impersonates @chrisrock and then gets slapped by… https://t.co/4xiIeblo0I,2022-04-15 08:46:30+00:00,"Vancouver, British Columbia",Twitter for Android,3,0,0,0
2,pcmguru,"Denzel Washington, @morgan_freeman, @WhoopiGoldberg, @SamuelLJackson, @violadavis, @chrisrock,@TheActualJD, John Bo… https://t.co/weWFFPqATM",2022-04-15 08:38:18+00:00,Leeds United Kingdom,Twitter for iPhone,0,0,0,0
3,LLombardo77,"Is his face CGI? Looks super weird... #ChrisRock #WillAndChris
https://t.co/lOE6GB4SGM",2022-04-15 08:31:43+00:00,Canadian Wilderness ,Twitter for Android,0,0,0,0
4,MajidMardani10,@WHO @pahowho @PAHOCaribbean @opsargentina @opsomsuruguay @OPASOMSBrasil @OPSECU @WHOEMRO @WHO_Europe @WHOSEARO… https://t.co/1ju3SwUQKp,2022-04-15 08:31:13+00:00,,Twitter Web App,0,0,0,0
5,NummmaNrt,"RT @Erdal62747719: Will Smith eşi hakkında şaka yaptığını söyleyen Chris Rock 'a yumruk attı 😮
#Oscar #Oscars #WillSmith #chrisrock https:/…",2022-04-15 08:30:22+00:00,,Twitter for Android,0,0,0,0
6,DarthVGameTime,@1Shimmi @ShannaChamp @palermino_susan @TincherDiane @pember_emily @RealGilbert @chrisrock Going in this deep on a… https://t.co/zsyuWEkcJx,2022-04-15 08:29:05+00:00,West Coast USA,Twitter for Android,1,0,0,0
7,Kodiak504,@TheAcademy The car that Will and @jadapsmith rode home in after @chrisrock got #rocked. Also you shouldn’t have… https://t.co/0JAXYXuTLa,2022-04-15 08:25:37+00:00,"Covedale, OH",Twitter for iPhone,0,0,0,0
8,americanocupice,"RT @kasper39130786: Will Smith Kant Save Her 😂, #WillSmith  #JadaPinkettSmith  #ChrisRock  #willowsmith  #jaden https://t.co/7EqKApNxmE",2022-04-15 08:18:18+00:00,,Twitter for iPhone,0,0,0,0
9,Robertlife22,RT @chrisrock: Summer 2022 https://t.co/CXlesScGPN,2022-04-15 08:10:03+00:00,"Chicago, IL",Twitter for iPhone,0,0,0,0
10,ShakeyJimbles,RT @phamtomstrikerx: #WillSmith #Oscars #Oscars2022 #chrisrock https://t.co/bj1AMJQ6SE,2022-04-15 08:08:20+00:00,(Hotel) California (Girls),Twitter for iPad,0,0,0,0
