,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,iamtrisha_,@RubiniShetty @iamsrk Have you read yesterday’s news? I feel bad for #WillSmith . This is devastating that we won’t… https://t.co/Czmh2gTYmX,2022-04-12 07:58:25+00:00,"Texas, USA",Twitter for iPhone,0,0,2,0
1,BoujieBadAzzz,@Brandobackagain @khaaree @jadapsmith @willsmith https://t.co/Llk61diQt3,2022-04-12 07:58:17+00:00,Konoha,Twitter for iPhone,1,0,0,0
2,KoinsbaseEx,"#hollywood_stars  director #SpikeLee  launched #NFTs⛳️⛳️⛳️  from his movie ""She Has the Final Word""...#Crypto… https://t.co/x4NW6FeyzP",2022-04-12 07:57:59+00:00,香港HongKong,Twitter Web App,3,0,1,0
3,YannouX972,RT @TiffMoonChild: J'ai pas les mots! Je suis tellement d'accord avec cette réponse... #lesoscars #WillSmith https://t.co/5m4LzXyWJb,2022-04-12 07:57:58+00:00,Martinique,Twitter for Android,0,0,0,0
4,khaaree,@Brandobackagain @BoujieBadAzzz @jadapsmith @willsmith baby that’s keke palmer,2022-04-12 07:57:29+00:00,PINK PALACE ,Twitter for iPhone,1,0,0,0
5,khaaree,RT @BoujieBadAzzz: Gagged y’all a bit😭 @jadapsmith @willsmith,2022-04-12 07:56:21+00:00,PINK PALACE ,Twitter for iPhone,0,0,0,0
6,BoujieBadAzzz,@codyjbland02 @jadapsmith @willsmith 😭😭😭,2022-04-12 07:56:10+00:00,Konoha,Twitter for iPhone,1,0,0,0
7,codyjbland02,@BoujieBadAzzz @jadapsmith @willsmith he’s gonna slap me help!,2022-04-12 07:55:52+00:00,people lover,Twitter for iPhone,1,0,1,0
8,BoujieBadAzzz,Gagged y’all a bit😭 @jadapsmith @willsmith https://t.co/JLW8XQXEVD,2022-04-12 07:55:32+00:00,Konoha,Twitter for iPhone,2,0,2,1
9,LuisDugand,"Desagradecida mentalidad de una persona que te defendió ante millones de personas, no se merece ni que la defiendan… https://t.co/AqE7ze6L98",2022-04-12 07:53:37+00:00,"Barranquilla, Colombia",Twitter for Android,0,0,0,0
10,TalvaTasnuva,"Creativity is intelligence having fun.” ― Albert Einstein

#freelancing #billgates #willsmith #marketing",2022-04-12 07:50:59+00:00,Bangladesh,Twitter for Android,0,0,1,0
11,DeadRtist,"Hey peeps 💥

Minted another #stylizedpunk on @opensea 

Retweet will be appreciated ❤️

https://t.co/RjFhfCZdLt… https://t.co/ErjmOFgmVt",2022-04-12 07:48:43+00:00,"Punjab, India",Twitter for iPad,20,0,1,9
12,mlpoehost,"@WFLA @kfc And its grammar almost hits harder THAN a banned Donald Trump tweet. #KFC #WillSmith #Trump #humor 

https://t.co/wIUfo1dWC0",2022-04-12 07:44:43+00:00,,Twitter for iPhone,0,0,0,0
13,FMHi769,RT @FMHi769: #fmhi #ゆうラジ #火曜 #水都生ュレーションRadio 17:15 #rodam さんこと #岩崎慎一 さんの #ID数秘 鑑定 #Oscars #ChrisRock #WillSmith アカデミー会員辞退&amp;10年出禁を言い渡されたウィルスミ…,2022-04-12 07:44:03+00:00,静岡市葵区七間町8-20,Twitter for iPhone,0,0,0,0
14,Tiemotalk,Will Smith Oscars Meltdown - Is this a watershed moment for freedom of speech for comedians and hosts?… https://t.co/5S1MGT3fUX,2022-04-12 07:42:08+00:00,London,Twitter for Android,0,0,0,0
15,dvdmike,I would go as far as saying @willsmith + @bradshoemaker make a techpod shlaps,2022-04-12 07:40:42+00:00,"Taunton, England",Twitter for Android,1,0,0,0
16,MiniVolo,@Kherzii Smash like if this was relatable @willsmith,2022-04-12 07:37:36+00:00,My House,Twitter for iPhone,1,0,0,0
17,officially_kev,"RT @officially_kev: Columbia Women's Ice Maiden Ii Boot Snow
👇👇
https://t.co/0ecK2Zo81s
👆🏻👆🏻
#Amazon #AMA #AMC #US_SanctionMOGE #USD #Ukrai…",2022-04-12 07:36:02+00:00,,Twitter for Android,0,0,0,0
18,rugcastt,"The @willsmith way ,
Who’s agree ??????? https://t.co/YN1pKn6ReU",2022-04-12 07:34:51+00:00,"Los Angeles, CA",Twitter for iPhone,0,0,0,0
19,WorldHumanRel,"Şiddete başvurana ödül vermek şiddete teşvit etmektir! 
Bireyler ve toplumların ruh sağlığı için şiddetin her türün… https://t.co/hdjVc3K1uY",2022-04-12 07:34:37+00:00,Turkey - Africa - Asia ,Twitter for Android,6,0,0,0
20,Orangeolive7,RT @Schmorteey: @ProjectHartNFT @shinobibunnynft @Ukraine @SnoopDogg @FloydMayweather @KimKardashian @britneyspears @BartekSibiga @ShirinDa…,2022-04-12 07:34:02+00:00,,Twitter for iPhone,0,0,0,0
21,Biancamim,@disinformatico Ci starebbe chiamare #WillSmith,2022-04-12 07:32:16+00:00,"Alleghe, Padova, Italy",Twitter for iPhone,1,0,0,0
22,tiranovlog_vane,RT @willsmith: It’s 9 o’clock on a Saturday.,2022-04-12 07:31:09+00:00,,Twitter for Android,0,0,0,0
23,stsam4,"RT @OnlyWithCrypto: If you do not have a #Binance account, open your account, deposit US$50 in the next 12 days and you will receive US$100…",2022-04-12 07:29:27+00:00,,Twitter for Android,0,0,0,0
24,AngelaEnYuLao,"https://t.co/XoclmMxowV

#willsmith #香港特首 #beckham #davidbeckham #brooklynbeckham #澳門蛋 #方艙醫院 #fieldhopital #france… https://t.co/oSh1z6FFEq",2022-04-12 07:28:27+00:00,Macau,Twitter for iPhone,0,0,0,0
25,LeeWatsky,#WillSmith #Russians https://t.co/utsWRETdpM,2022-04-12 07:28:07+00:00,,Twitter for Android,0,0,0,1
26,_kaphima_,@FaZeClan @willsmith This is NOT will Smith,2022-04-12 07:27:50+00:00,USA,Twitter for Android,0,0,0,0
27,DMan1504,@Bookishcrick @samatlounge @mrbsemporium @willsmith @bertsbooks @ForumBooks @villagebooksdul @kibworthbooks… https://t.co/xBgG7JtgP7,2022-04-12 07:27:36+00:00,"Bristol, England",Twitter for iPhone,9,0,0,0
28,_kaphima_,@FaZeClan Faze @willsmith for that MVP earning Slap,2022-04-12 07:27:22+00:00,USA,Twitter for Android,0,0,1,0
29,noorgad42100986,RT @0xCryptoJesus: Wowwww #Oscars #WillSmith #chrisrock uncut footage taken from Japanese TV. He smacked tf out of him 😳 https://t.co/gy9bv…,2022-04-12 07:26:25+00:00,,Twitter Web App,0,0,0,0
30,MediaHustle17,RT @MediaHustle17: I sincerely think all men should support @willsmith even though he was absolutely wrong for his conduct at the Oscars. N…,2022-04-12 07:25:19+00:00,"Virginia, USA",Twitter for iPhone,0,0,0,0
31,RealRvr,They have the chance. It is the perfect time to merge it all. #HenryCavill @BenAffleck @keanureeves #constantine… https://t.co/g1fHixYz4i,2022-04-12 07:25:15+00:00,,Twitter for Android,1,0,1,1
32,yahyaandyahya,@chrisrock atau @willsmith ? Menurut bang @pandji.pragiwaksono siapa dan kenapa ya? Cek deh lengkapnya di… https://t.co/ojYjSNfLMy,2022-04-12 07:23:57+00:00,"DKI Jakarta, Indonesia",Twitter for Android,0,0,0,0
