,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,rojobin2,"RT @VeracityInstit: I'm confused. Is #ChrisRock canceled? Is #WillSmith ?
Let's ask #DaveChappelle !!
#CancelCulture 
#HollywoodHypocrites…",2022-04-15 20:57:32+00:00,,Twitter for Android,0,0,0,0
1,mr_whiskytwo,Now that everyone has had thier say about #WillSmith... Has any one checked on @JoynerLucas  ??,2022-04-15 20:56:33+00:00,"Decatur, GA",Twitter for Android,0,0,0,0
2,cmt_ca_va,RT @GENKII_X: J’vais canner les gens sont trop fort mdrr #WillSmith #spiderman https://t.co/zZEPn3AYZq,2022-04-15 20:56:30+00:00,,Twitter for Android,0,0,0,0
3,ZEROmoniozo,"Si yo fuera #WillSmith hubiera iniciado la creación de:
""El Príncipe de Bel-Air 2""
Participación del mismo elenco,… https://t.co/JnCV3GAUCt",2022-04-15 20:56:27+00:00,El Mundo.,Twitter Web App,0,0,0,0
4,Shalompraise10,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 20:55:19+00:00,,Twitter for Android,0,0,0,0
5,_kriticks,Une blague de très mauvais goût pour Chris Rock cette fois la ! #oscars2022 #willsmith #chrisrock #cinema  https://t.co/XEgpAOSEY0,2022-04-15 20:54:02+00:00,Around the world,SocialManager123,0,0,0,0
6,yinkaakins1,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 20:52:59+00:00,,Twitter for Android,0,0,0,0
7,_Potter_Head_21,"Damn, #DC can really pick them… #BarryKeoghan #AmberHeard #EzraMiller #WillSmith https://t.co/WLCQ56Txqk",2022-04-15 20:50:02+00:00,They/Them🏳️‍🌈🏳️‍⚧️ #Always,Twitter for iPad,32,2,5,2
8,zibahcutie,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 20:49:43+00:00,,Twitter for Android,0,0,0,0
9,DatFrazierGurl,"Sometimes you have to choose you FOR YOU. Stay up Kings and Queens 👑 

~DatFrazierGurlSaidIt~
#Respectfully… https://t.co/bPEQeiMPla",2022-04-15 20:48:24+00:00,"Atlanta, GA",Twitter for iPhone,1,0,0,0
10,seanbonner,@jacobdehart @willsmith @hels With or without pineapple?,2022-04-15 20:48:23+00:00,Around the way,Twitter for iPhone,1,0,0,0
11,ZeForgotten,"@willsmith @nchan ""Hah, joke's on them, I'm a Trekkie"" -Designer",2022-04-15 20:48:22+00:00,Somewhere Over The Rainbow,TweetDeck,1,0,0,0
12,MerlinLukePride,"@ws_willsmith 
Here is what I said to TYT
Out of line? Have you ever heard of justifiable outrage? You're right act… https://t.co/e1C4OYWjiu",2022-04-15 20:47:22+00:00,"Laceyville, PA",Twitter for Android,0,0,0,0
13,Suleima45095341,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 20:46:55+00:00,,Twitter for Android,0,0,0,0
14,elbeto93,RT @TPRMediaGroup: Here’s a throwback video of Jada Pinket Smith performing with her heavy metal band Wicked Wisdom and Will Smith supporti…,2022-04-15 20:46:32+00:00,,Twitter for Android,0,0,0,0
15,willsmith,@jacobdehart @hels https://t.co/NmZbxx9Jy2,2022-04-15 20:46:30+00:00,"San Francisco, CA",TweetDeck,2,0,3,0
16,MaryamS10821034,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 20:45:56+00:00,,Twitter for Android,0,0,0,0
17,jacobdehart,"@willsmith @hels But have you tried to barbecue it, boil it, broil it, bake it, saute it, shrimp-kabobs, shrimp cre… https://t.co/xXhKkOOuMU",2022-04-15 20:45:45+00:00,Chicago (Oak Park),Twitter Web App,4,0,2,0
