,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,ellimejn,RT @keyon: @WrittenByHanna gasp???? #rap #hiphophead #alleyezonme #willsmith #poeticjustice,2022-04-10 21:58:29+00:00,where the money resides,Twitter for Android,0,0,0,0
1,lilimilani,@DanteGebelFra @willsmith,2022-04-10 21:58:24+00:00,"Carolina del Norte, USA",Twitter for Android,0,0,0,0
2,djBESWOLF,#wolfliveapp #wolflive #wolflovers #music #livemusicshow #livedjshow #reggae #reggaemusic #reggeamusic #reggea… https://t.co/O0i25HH3AU,2022-04-10 21:57:53+00:00,"London, England",Twitter for iPhone,0,0,0,0
3,emilyamacrae,RT @Jay_Pitter: Celebrity news isn’t my thing but I’m compelled to underscore that #WillSmith being banned from the Oscars for 10 years whi…,2022-04-10 21:57:53+00:00,Toronto | Dish With One Spoon,Twitter for Android,0,0,0,0
4,StarDust8745,RT @realArmandKlein: Neither #WillSmith nor his famous family had more to say following the academy's call &amp; his inevitable acceptance whic…,2022-04-10 21:57:07+00:00,,Twitter for Android,0,0,0,0
5,_Dani_Danis_,RT @hotvickkrishna: The Oscars Meeting about Will Smith #WillSmith #Oscars #ban #comedy #skit #ChrisRock #slap https://t.co/KqiQhhBjVY,2022-04-10 21:56:46+00:00,Schweiz,Tweetbot for iΟS,0,0,0,0
6,MsAnalytical15,"📣 New Podcast! ""Janet Hubert 'Original Aunt Viv' Stands With Will Smith Amid Oscar's Slap Scandal"" on @Spreaker… https://t.co/V05ulztFxM",2022-04-10 21:56:43+00:00,,Spreaker,1,0,0,0
7,BonadonnaMarco,RT @pirata_21: #WillSmith bandito per 10 anni dagli #Oscar per lo schiaffo a #ChrisRock. Insomma negli Usa se non usi la pistola sono irrep…,2022-04-10 21:55:40+00:00,Rome,Twitter for Android,0,0,0,0
8,Mom4BTS,@BTS_twt coattail riding haters trying to disturb the #PTD_ON_STAGE_LV celebration but failing miserably - AMI shak… https://t.co/ULIu8ML6Jz,2022-04-10 21:55:39+00:00,"San Diego, California 🇺🇸",Twitter for iPhone,0,0,0,0
9,gameAddictsx,Big Yavo - Yayski (Official Music Video) https://t.co/cVZ3eX6tPJ via @YouTube @Stunna4Vegas_  @willsmith,2022-04-10 21:55:17+00:00,,Twitter for iPhone,0,0,0,0
10,Misantropomexic,"RT @mvollmer1: Realtime Detection of feelings in the video using #ArtificialIntelligence #AI. #WillSmith, looks pretty chill in this video!…",2022-04-10 21:55:03+00:00,,Twitter Web App,0,0,0,0
11,KempireDaily,Erika Throws Garcelle's NEW Book in the Trash &amp; Garcelle Defends Kathy + Discusses Will Smith… https://t.co/8vvTKdwsRP,2022-04-10 21:55:00+00:00,"New York, NY",TweetDeck,0,0,0,1
12,AhoraTabasco,"🔴#AHORA| ‘Nunca quise casarme’: Jada Pinkett (@jadapsmith) sobre boda con #WillSmith.

✅Nota completa👇🏽… https://t.co/FGl4bfuWIa",2022-04-10 21:54:58+00:00,"Villahermosa, Tabasco",Twitter Web App,0,0,1,0
13,GFAM2021,@Enheduanna_dv @jadapsmith @ws_willsmith 😂 look at you https://t.co/kWSPkbrJ9A,2022-04-10 21:54:46+00:00,,Twitter for iPhone,0,0,1,0
14,thepopcornreel,"🎙NEW EPISODE (Saturday’s) - THE POLITICRAT daily #podcast Season 3, Episode 99: President Obama Goes To Washington… https://t.co/E0ODGsG01k",2022-04-10 21:53:38+00:00,California,Twitter for iPhone,0,0,0,1
15,WebMediums,"Will Smith queda vetado por 10 años de los Oscar
La decisión la tomó la #Academia de las Artes y #Ciencias Cinemato… https://t.co/1An1YqhBnM",2022-04-10 21:52:46+00:00,,WebMediums,0,0,0,0
16,K6ms1,@batcatboys @willsmith can you slap this man,2022-04-10 21:52:22+00:00,ur moms house,Twitter Web App,0,0,0,0
17,juliaineslombna,"RT @blablafast: @ELTIEMPO Como padre de un niño autista, su proceder me parece peor que el mediático manotazo de #WillSmith en los Óscar 😢",2022-04-10 21:52:16+00:00,,Twitter for Android,0,0,0,0
18,spinozaX75,RT @EkimSork: Ich habe dem nichts hinzuzufügen 😁 #Putin #WillSmith https://t.co/mn4ptrnsaQ,2022-04-10 21:51:59+00:00,,Twitter Web App,0,0,0,0
19,DanDamakoa,"Trop propre son discours ....
#WillSmith https://t.co/ISoiYdX189",2022-04-10 21:51:18+00:00,"Centre, Cameroon",Twitter for Android,0,0,0,0
20,funnyfatalist,@TheAcademy is not good enough. #WillSmith should not be allowed in hollywood,2022-04-10 21:51:14+00:00,,Twitter for Android,0,0,0,0
21,gameAddictsx,"JayDaYoungan ""Purge"" (Official Music Video) https://t.co/wLORsu1Mwk via @YouTube @willsmith @Stunna4Vegas_",2022-04-10 21:50:51+00:00,,Twitter for iPhone,0,0,0,0
22,t_money23,Double mint twins @willsmith @jabaribanks #jabaribanks #ByeByeSundayBlues #ImoniCarly #willsmith… https://t.co/hjv48YLREJ,2022-04-10 21:50:49+00:00,"Chicago, IL",Instagram,0,0,0,1
23,GermanicusVac,"@willsmith  te necesitan en Ecuador para que des una bofetada a un HDP, y esta vez te agradecerán",2022-04-10 21:50:45+00:00,"Virginia, USA",Twitter Web App,0,0,0,0
24,uninyanjoho,"RT @kamen0915: アメリカでは今回のことは悪い捉え方になるのか。
文化の違いかと思ってしまうね。
#WillSmith  
#アカデミーショー
#オスカー
#平手打ち

https://t.co/MdzBfONfQs",2022-04-10 21:50:16+00:00,,Twitter for iPhone,0,0,0,0
25,linis2613,"RT @La_Informacion1: Hace una semana, Will Smith presentaba su renuncia a la Academia a través de un comunicado, justo antes de que ésta de…",2022-04-10 21:49:56+00:00,Texas,Twitter for iPhone,0,0,0,0
26,MutantTheater2,RT @thekrisavalon: ON THE LINE! #OTL; #EZRAMILLER #DCCOMICS #WILLSMITH #JUSSIESMOLLETT #CARDIB #SHERRYPIE #COACHELKA +MORE! https://t.co/Ay…,2022-04-10 21:49:23+00:00,MonsterFam Discord👇🏻,Twitter for iPhone,0,0,0,0
27,TheReillk,"@YNB @willsmith Everybody loves to see a fall, and if it needs a little push to happen, so be it.  Like we ever rea… https://t.co/otM43ZynOp",2022-04-10 21:49:03+00:00,"Cincinnati, OH",Twitter for iPad,0,0,0,0
28,KenCovington9,RT @HankDavis: I chime in on the #WillSmith 10-year ban! What punishment would you have given him? Chime in on the YouTube channel! Subscri…,2022-04-10 21:48:59+00:00,United States,Twitter for iPhone,0,0,0,0
29,GrislyDetails,"RT @BoneheadWeekly: Step 1:
Check out our new podcast episode wherein we, 3 inconsequential guys, discuss #BreakingBad , #BetterCallSaul ,…",2022-04-10 21:48:58+00:00,,Twitter for Android,0,0,0,0
30,JakeCowell15,@willsmith_09 @lewisjames77 He binned use of for the money,2022-04-10 21:48:30+00:00,,Twitter for iPhone,0,0,0,0
31,gameAddictsx,JayDaYoungan - 38K (Facts) [Official Music Video] https://t.co/ZgMZlJVhck via @YouTube @Stunna4Vegas_ @willsmith  s… https://t.co/vc9jyMT0OV,2022-04-10 21:48:17+00:00,,Twitter for iPhone,0,0,0,0
32,willowengirl,#FreeWillSmith  #WillSmith deserve a woman with hair. Not a jada pinkett.. get well soon  will.. you deserve find t… https://t.co/jTec7Oh5n7,2022-04-10 21:48:02+00:00,"Asuncion, Paraguay",Twitter for Android,0,0,0,0
33,EdirmaIglesias6,"@ActualidadRT Mi pregunta este incidente pasará por debajo de la mesa.?????
Pienso que debe tener la misma publicid… https://t.co/sYIwpgkVPW",2022-04-10 21:48:01+00:00,"Maracaibo,Zulia Venezuela ",Twitter for iPhone,3,0,1,1
34,DRIPPYROOTS,"i channeled willsmith so hard i seen him look at martin after a line he said and chant ""bad boy""… https://t.co/HbdJgRE0gb",2022-04-10 21:46:40+00:00,Watchyourtone Desiet ,Twitter Web App,0,0,0,0
35,StreamerWallcom,RT @Dretastic_: Leggoooo let’s get these dubs!!!what’s the word ?!??! https://t.co/t6xLeluxnc #CallofDuty #Livestream #SmallStreamerCommuni…,2022-04-10 21:46:25+00:00,Worldwide,RetweetPicku,0,0,0,0
36,Retweelgend,RT @Dretastic_: Leggoooo let’s get these dubs!!!what’s the word ?!??! https://t.co/t6xLeluxnc #CallofDuty #Livestream #SmallStreamerCommuni…,2022-04-10 21:46:20+00:00,Disney Land Paris,Rt_Bot ,0,0,0,0
