,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,disguyiknow,"Pretty sure he meant for @WillSmith to give her a stern talking-to. #ClanMom
https://t.co/N87lhjIAN5",2022-04-15 08:58:00+00:00,"Massachusetts, USA",Twitter for Android,0,0,0,0
1,Djfreezylee01,RT @Kirian_Sucre: Lol @willsmith  come see something bro 😂😂 feom @harrisonJNIOR  😂😂,2022-04-15 08:57:52+00:00,Land Of Nobody,Twitter for iPhone,0,0,0,0
2,a320masrock,@willsmith y su esposa https://t.co/njQEnssNJr,2022-04-15 08:53:42+00:00,"Chihuahua, México",Twitter Web App,0,0,0,0
3,BmsStream,"The story of grit, determination and a father who made his daughters an inspiration for the world.

#KingRichard… https://t.co/RbC0akrsyp",2022-04-15 08:52:30+00:00,,Twitter for Android,3,0,0,0
4,PrimeArwyn,"RT @TheRealMelissaE: If Hollywood is going to go to such great lengths to cancel a Black man, who had a moment- one single slap, out in the…",2022-04-15 08:51:56+00:00,Extrange Life,Twitter for Android,0,0,0,0
5,harrisonJNIOR,RT @Kirian_Sucre: Lol @willsmith  come see something bro 😂😂 feom @harrisonJNIOR  😂😂,2022-04-15 08:49:17+00:00,,Twitter for Android,0,0,0,0
6,99_illmatic,"RT @TheRealMelissaE: If Hollywood is going to go to such great lengths to cancel a Black man, who had a moment- one single slap, out in the…",2022-04-15 08:44:46+00:00,Tacoma WA,Twitter for iPhone,0,0,0,0
7,Soursop34200818,nih bos aq kasih link BO GACOR yg ngasih akun baru menang terus....#WIGOGAME #AZKACORBUZIER #VICKYPRASETYO #IDI… https://t.co/vshZaFPivI,2022-04-15 08:42:44+00:00,bali,Twitter Web App,0,0,0,0
8,AfreenRumie,@whatevah_16 @willsmith Haaa,2022-04-15 08:38:02+00:00,Sri Lanka,Twitter for Android,1,0,0,0
9,AfreenRumie,"@mannahh_ @willsmith More like attachment , she's so toxic",2022-04-15 08:37:56+00:00,Sri Lanka,Twitter for Android,2,0,0,0
10,whatevah_16,"@AfreenRumie @willsmith Oya kiyanna, Oya kiwwoth eya ahawi",2022-04-15 08:36:09+00:00,Sri Lanka,Twitter for iPhone,2,0,1,0
11,Kirian_Sucre,Lol @willsmith  come see something bro 😂😂 feom @harrisonJNIOR  😂😂 https://t.co/Zb0OVQxxmk,2022-04-15 08:35:51+00:00,"Rivers, Nigeria",Twitter for Android,6,0,0,2
12,2g_shah,@willsmith #WillSmith https://t.co/Vwur6L26It,2022-04-15 08:35:14+00:00,,Twitter Web App,1,0,0,1
13,NicoViscomi,RT @StefanoBusani: #gas #DiMaio #Draghi #Algerie #WillSmith #Condizionatore https://t.co/ztjHHQDdf5,2022-04-15 08:35:01+00:00,Roma,Twitter Web App,0,0,0,0
14,JbrozTv,@Or30115 @JBroZ_Tv115 @tiktok_us @TikTokSupport @tiktokcreators @elonmusk @TikTokForGood @tiktok_uk… https://t.co/DDXjeirIWw,2022-04-15 08:34:20+00:00,,Twitter for Android,0,0,0,0
15,Pabel_61,RT @StefanoBusani: #gas #DiMaio #Draghi #Algerie #WillSmith #Condizionatore https://t.co/ztjHHQDdf5,2022-04-15 08:30:31+00:00,Italia,Twitter Web App,0,0,0,0
16,NummmaNrt,"RT @Erdal62747719: Will Smith eşi hakkında şaka yaptığını söyleyen Chris Rock 'a yumruk attı 😮
#Oscar #Oscars #WillSmith #chrisrock https:/…",2022-04-15 08:30:22+00:00,,Twitter for Android,0,0,0,0
17,shineelite2,RT @StefanoBusani: #gas #DiMaio #Draghi #Algerie #WillSmith #Condizionatore https://t.co/ztjHHQDdf5,2022-04-15 08:29:56+00:00,Italy,Twitter Web App,0,0,0,0
18,siriomerenda,RT @StefanoBusani: #gas #DiMaio #Draghi #Algerie #WillSmith #Condizionatore https://t.co/ztjHHQDdf5,2022-04-15 08:29:14+00:00,,Twitter for Android,0,0,0,0
19,DrDaniloAcevedo,RT @CirujanoGZ: - #JhonnyDeep y #WillSmith nos enseñan que si te aferras a estar donde NO ES... puede repercutir en TODAS las esferas de tu…,2022-04-15 08:27:31+00:00,"Barcelona, España",Twitter for Android,0,0,0,0
