,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,TrippySteve22,@GothamApes @tombheads @paint_swap lol i think you meant Congrats ChrisRock! 😂,2022-03-27 22:53:01+00:00,,Twitter Web App,0,0,0,0
1,abiewerk,"I dare anyone to say TIGRAYAN LIVES MATTER at the #Oscars2022 tonight. 

Stand With #Tigray, if you Stand With… https://t.co/yyhG5oVgpN",2022-03-27 22:48:52+00:00,,Twitter for iPhone,2,0,0,2
2,TAHAWIH1,@EdenBFKN @HalleBailey @chrisrock @JILLSCOTTFANS @wesleysnipes @ladygaga @jennifergarner8,2022-03-27 22:12:51+00:00,,Twitter for Android,1,0,0,0
