,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,KasimAkrBot,"RT @Wiss_1904: First animation @KreekCraft  slapping @chizeled_
in roblox. Also did you see the easter egg. Like and retweet for part2 and…",2022-04-15 21:57:18+00:00,,Kasim Akr Bot,0,0,0,0
1,jinson31687072,"RT @TGTM_Official: #Chinese one-sidedly support Will Smith for ""a beautiful job"" in slapping @ChrisRock who ""deserves to be hit"" @TheAcadem…",2022-04-15 21:57:14+00:00,"Calgary, Alberta",Twitter for iPhone,0,0,0,0
2,cristhewoo,https://t.co/RPc5uzfJFq #WillSmith #jadapinkett #ChrisRock #podcast,2022-04-15 21:54:17+00:00,"Dallas, TX",Twitter for Android,0,0,0,0
3,ImeneAsroun,"RT @Wiss_1904: First animation @KreekCraft  slapping @chizeled_
in roblox. Also did you see the easter egg. Like and retweet for part2 and…",2022-04-15 21:49:40+00:00,,Twitter for Android,0,0,0,0
4,Summery16156819,"RT @TGTM_Official: #Chinese one-sidedly support Will Smith for ""a beautiful job"" in slapping @ChrisRock who ""deserves to be hit"" @TheAcadem…",2022-04-15 21:48:54+00:00,,Twitter for iPhone,0,0,0,0
5,AreciboChica,RT @InfantryUSMC33: @Prima_donna2163 @TatyanaAli @chrisrock Demanding accountability and punishment isn't abandonment. We're watching Bad B…,2022-04-15 21:48:27+00:00,"Camp Pendleton North, CA",Twitter for Android,0,0,0,0
6,AreciboChica,@InfantryUSMC33 @Prima_donna2163 @TatyanaAli @chrisrock Boom! 👍🏻,2022-04-15 21:48:14+00:00,"Camp Pendleton North, CA",Twitter for Android,0,0,0,0
7,Hindsight9x,"RT @TGTM_Official: #Chinese one-sidedly support Will Smith for ""a beautiful job"" in slapping @ChrisRock who ""deserves to be hit"" @TheAcadem…",2022-04-15 21:47:25+00:00,"London, England",Twitter for iPhone,0,0,0,0
8,RobbyRobJames,"Learning how to fight 👋🏻 
.
.
#willsmith #chrisrock #chrisrockwillsmith 
#teamchris #oscars2022 #robbyselfie https://t.co/Gp6E3gQJLG",2022-04-15 21:44:18+00:00,Long Island New York,Twitter for iPhone,0,1,0,0
9,vrhiphop,"RT @LiveNationCmdy: ON SALE NOW Chris Rock Ego Death World Tour 2022 is adding more dates! Get your tickets at the link below.
10/8    New…",2022-04-15 21:43:02+00:00,In Space,Twitter for Android,0,0,0,0
10,vrhiphop,RT @KevinHart4real: Our tix are officially on sale people!!! We are taking over New York &amp; New Jersey!!! 5 Days 5 Shows!!! History will be…,2022-04-15 21:41:31+00:00,In Space,Twitter for Android,0,0,0,0
11,Vodolaz7777,"@chrisrock WHO DO YOU KNOW IN USA WHO CAN HOST A 7-DAY TELETHON WITH SNL COMEDIANS AND ACTORS, ROCK BANDS AND SPORT… https://t.co/eXweaEF6e3",2022-04-15 21:37:56+00:00,,Twitter Web App,0,0,0,0
12,Bobbie_Adkin,@chrisrock What to do when sad and lonely?,2022-04-15 21:36:35+00:00,,Twitter Web App,0,0,0,0
13,BOXMAN0360,RT @NyOnTheRadio: Previously on the #Jusnikshow with Roy Wood Jr. and Chase Anthony in the metaverse. #altspace #OculusQuest2 #oculus #will…,2022-04-15 21:36:35+00:00,Metaverse,Twitter Web App,0,0,0,0
14,Robin09664178,@Chuxville12 @MyFCMB @elonmusk Your 3rd @ is actually  @chrisrock ...,2022-04-15 21:36:32+00:00,Somewhere in the 🌎,Twitter for Android,0,0,0,0
15,Jseb_G15,"-vas a dejarlo que me digan cabeza de bolo?
#WillAndChris #WillSmith #ChrisRock #willsmithchrisrock https://t.co/7zUp4pLkId",2022-04-15 21:34:26+00:00,,Twitter for Android,1,0,0,0
16,StupidCanKill,"@PKawalerski @RealGilbert @chrisrock You do know he didn’t know about her condition don’t you?
Waaaay to many sensitive pansies these days.",2022-04-15 21:34:10+00:00,⭐️TEXAS⭐️,Twitter for iPad,0,0,0,0
17,CINNABUNNY777,"Selling Chris Rock Tickets at Face Value for tonight April 15!! Have two seats in  SECTION 304 Row K and L

Venue:… https://t.co/JwWfJdAVEI",2022-04-15 21:31:02+00:00,,Twitter for Android,0,0,0,0
18,fd24PeXrztSybgi,"RT @TGTM_Official: #Chinese one-sidedly support Will Smith for ""a beautiful job"" in slapping @ChrisRock who ""deserves to be hit"" @TheAcadem…",2022-04-15 21:30:45+00:00,,Twitter for iPhone,0,0,0,0
19,accesshollywood,#GoodMorningAmerica’s Robin Roberts commends #ChrisRock for not speaking out after being assaulted on live televisi… https://t.co/CCWbyndTsG,2022-04-15 21:30:00+00:00,Instagram → @accessonline,Twitter Media Studio,2,0,0,0
20,IahRataza,RT @IahRataza: The world needs a #hero  https://t.co/sVbjCWuQxm  #hiphop #superhero #Bossert #NATO  #oscarwinner #chrisrock  #memes #dccomi…,2022-04-15 21:28:12+00:00,,Twitter Web App,0,0,0,0
21,gbaby512atx,"@chrisrock you and #willsmith should dab it us. Will you owe him! Let’s fix this, then go pack @jadapsmith stuff an… https://t.co/HIdVcIWNKS",2022-04-15 21:28:08+00:00,,Twitter for iPhone,0,0,0,0
22,IahRataza,RT @IahRataza: The world needs a #hero  https://t.co/sVbjCWuQxm  #hiphop #superhero  #chrisrock #memes #dccomics #marvel #RestoreTheSnyderV…,2022-04-15 21:28:05+00:00,,Twitter Web App,0,0,0,0
23,Lawand_Lawson,@chrisrock Someone wants to talk to me?,2022-04-15 21:25:15+00:00,,Twitter Web App,0,0,0,0
24,gekooooboy,"Handled this like a Professional, Seasoned Legend.  👑 @chrisrock https://t.co/IAyGQloIwb",2022-04-15 21:24:20+00:00,,Twitter for iPhone,0,0,0,0
25,vlenuveno,"RT @TGTM_Official: #Chinese one-sidedly support Will Smith for ""a beautiful job"" in slapping @ChrisRock who ""deserves to be hit"" @TheAcadem…",2022-04-15 21:23:06+00:00,,Twitter for Android,0,0,0,0
26,maryambeja,RT @0xCryptoJesus: Wowwww #Oscars #WillSmith #chrisrock uncut footage taken from Japanese TV. He smacked tf out of him 😳 https://t.co/gy9bv…,2022-04-15 21:20:34+00:00,,Twitter Web App,0,0,0,0
27,Krystinafor45,RT @MandoJohny: #fuckjoebiden #fjb #letsgobrandon #politics   #willsmith #chrisrock #theoscars #trump #trumptrain  #fuckdisney #joebiden #K…,2022-04-15 21:19:22+00:00,"Las Vegas, NV",Twitter for iPhone,0,0,0,0
28,Santana80227408,"@chrisrock  Pure Hemp CBD Today
Colored BubblesToday we have a office in the heart of Los Angeles, CA. We house hal… https://t.co/5C6182xHRF",2022-04-15 21:18:08+00:00,,Twitter Web App,0,0,0,0
29,MandoJohny,#fuckjoebiden #fjb #letsgobrandon #politics   #willsmith #chrisrock #theoscars #trump #trumptrain  #fuckdisney… https://t.co/eOTQki2SDE,2022-04-15 21:17:48+00:00,,Twitter for Android,6,0,0,3
30,pember_emily,Just like #AmySchumer if #ChrisRock and SO many others were #comedians they would be #funny.( ⁦@people⁩ knows they… https://t.co/mbyywMhkAy,2022-04-15 21:15:59+00:00,"Lubbock, TX",Twitter for iPhone,0,0,0,0
31,Dom34012246,@pureclimate1 @MeetJoeGatt @willsmith @chrisrock I'm sure people would be happy to know pure climate is trolling pe… https://t.co/yRzzxqmpKj,2022-04-15 21:15:35+00:00,,Twitter for Android,0,0,0,0
32,rojobin2,"RT @OKStGal2019: Please. Will didn’t care if another man fucked his wife but suddenly a joke about her hair is a bridge too far? 🤡🌎🤪 

#Fak…",2022-04-15 21:15:11+00:00,,Twitter for Android,0,0,0,0
33,007Dufour007,"@chrisrock Chris Rock
@chrisrock
·
9 mars
AUSTRALIA &amp; NEW ZEALAND! After 5 years, I’m returning with my Ego Death W… https://t.co/bKLjKiBNW4",2022-04-15 21:14:14+00:00,Bordeaux    France,Twitter Web App,0,0,0,0
34,decor8,"@chrisrock Awesome - Love the name ""ROCK HART"" so good!!!",2022-04-15 21:13:50+00:00,"Hanover, Lower Saxony",Twitter Web App,0,0,0,0
35,007Dufour007,"RT @chrisrock: AUSTRALIA &amp; NEW ZEALAND! After 5 years, I’m returning with my Ego Death World Tour 2022 this August.
I can’t wait. Tickets o…",2022-04-15 21:13:44+00:00,Bordeaux    France,Twitter Web App,0,0,0,0
36,decor8,"RT @chrisrock: Kevin and I are hitting the NY area hard this summer.  Presale happening now, click the link in my bio. https://t.co/UNoJJVK…",2022-04-15 21:13:26+00:00,"Hanover, Lower Saxony",Twitter Web App,0,0,0,0
37,indigenous_Xyz,RT @GGreg84: Watched this classic yesterday #dogma #goodfriday2022 @ThatKevinSmith @JayMewes @chrisrock @BenAffleck @salmahayek https://t.c…,2022-04-15 21:10:21+00:00,🎡Tongva Land|ATL|🗽,Twitter for iPhone,0,0,0,0
38,khaw_claire,@Angela24801664 @7WhoSayS7 @Mediaite @chrisrock Woke is the degenerate matriarchy that will end your civilisation.,2022-04-15 21:08:11+00:00,,Twitter Web App,0,0,0,0
39,rojobin2,"RT @fedupfarmchick: Hey, #WillSmith did you hear what #JustinTrudeau said about your wife? It was terrible. I know his three hiding spots.…",2022-04-15 21:07:58+00:00,,Twitter for Android,0,0,0,0
40,SammyPsalmist1,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 21:05:50+00:00,,Twitter for Android,0,0,0,0
41,Abdool2920,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 21:04:12+00:00,,Twitter for Android,0,0,0,0
42,Psalmist_01,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 21:03:36+00:00,,Twitter for Android,0,0,0,0
43,Gafaka10,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 21:03:34+00:00,,Twitter for Android,0,0,0,0
44,rojobin2,"RT @BillClintonTHOF: Breaking News: Will Smith did not mean to slap Chris Rock, he got confused &amp; thought it was Justin Trudeau in Black Fa…",2022-04-15 21:02:28+00:00,,Twitter for Android,0,0,0,0
45,Paul_24213,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 21:02:07+00:00,,Twitter for Android,0,0,0,0
46,Paul_24212,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 21:01:59+00:00,,Twitter for Android,0,0,0,0
47,ARTHUR_13132,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 21:01:41+00:00,,Twitter for Android,0,0,0,0
48,KATRIN234513,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 21:01:29+00:00,,Twitter for Android,0,0,0,0
49,Thomas_4573,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 21:01:06+00:00,,Twitter for Android,0,0,0,0
50,Thomas_4572,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 21:00:57+00:00,,Twitter for Android,0,0,0,0
51,Shadow46466,"RT @SlappyInu: There’s now 13,250,000,000,000 $SLAP BURNED 🔥🔥🔥🔥 #SlappyInu 

Join or get SLAPPED! https://t.co/G7HkZ7mBdZ

#Memecoin #wills…",2022-04-15 21:00:34+00:00,,Twitter for Android,0,0,0,0
