,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,carmen_yrs,sí a @willsmith no le dan su #Oscar those people evidentemente don’t do their job well.,2022-03-27 22:58:58+00:00,,Twitter for iPhone,1,0,0,0
1,DatN33d,Who'ill WIN the #Oscar Gold!? -- Are ya'll watching the #Oscars  .. or .. do you wanna watch ME!? 😈🍆🍑👀🧐😜🤪🥰… https://t.co/Y3jpIIkRod,2022-03-27 22:58:40+00:00,,Twitter Web App,3,0,0,0
2,_natanaelchaves,Eu amo @willsmith um herói sem capa💕,2022-03-27 22:58:35+00:00,"Brumado, Brasil",Twitter for Android,0,0,0,0
3,udealor66,"Just do what works for you because there will always be someone who thinks differently.
#WhatIsAWoman #Brainwashed… https://t.co/69Cua7MYML",2022-03-27 22:58:24+00:00,UNKOWN WORLD ,Twitter for iPhone,0,0,0,0
4,biancavschiller,A naso credo che #WillSmith vinca l’ #Oscar . Comunque notevole anche #AndrewGarfield. Oscar del mio cuore. https://t.co/gdZVAkG2Jc,2022-03-27 22:57:12+00:00,Stockholm,Twitter for iPhone,0,0,0,0
5,candyvazz,Esta noche voy @willsmith  #KristenStewart y @kristendurst para ganadores en los #Oscars2022,2022-03-27 22:56:51+00:00,"Iztacalco, México DF",Twitter for Android,0,0,0,0
6,Bengiamino,#Oscars 2022 #JessieBuckley #ArianaDeBose #JudiDench #KirstenDunst #AunjanueEllis #CiaranHinds #TroyKotsur… https://t.co/pp8ccK5tHY,2022-03-27 22:56:38+00:00,Bologna,Twitter Web App,0,0,0,0
7,meridacrypto88,"“Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo… https://t.co/LT9y8FLgdj",2022-03-27 22:56:34+00:00,"Chiguara, Venezuela🇻🇪",Twitter for Android,0,0,0,0
8,FerMedicFam,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 22:54:31+00:00,"Cortazar, Guanajuato",Twitter for iPhone,0,0,0,0
9,teresabs15,Gente que cree que es seguro el #oscar a #CODA o #WillSmith... Os recuerdo que desde que hay mucho voto internacion… https://t.co/7TziCRQ3Od,2022-03-27 22:54:16+00:00,España ,Twitter for Android,3,1,2,0
10,SagesOasis,RT @SagesOasis: RT &amp; Share @SteveHarveyFM @RickRoss @MeekMill @TheEllenShow @BarackObama @EckhartTolle @Oprah @KillerMike @MichelleObama @j…,2022-03-27 22:53:44+00:00,Worldwide ,Twitter for iPhone,0,0,0,0
