,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,ManaMaia,#WillSmith foi banido do #Oscar por 10 anos por causa do tapa que deu em #ChrisRock. Será que Chris Rock será banid… https://t.co/kkJQK1NzeO,2022-04-09 21:52:30+00:00,"Rio de Janeiro, Brasil",Twitter for Android,0,0,0,0
1,SKPopCulture,"#WillSmith &amp; his gracious response to the Academy's Decision on banning him ⏩https://t.co/A3DXmLCf2C
.
.
.… https://t.co/84FuIG38Ox",2022-04-09 21:30:50+00:00,United States,Twitter for Android,0,0,0,0
2,gallyun,"RT @lovelyti: Will Smith is no longer allowed to ""attend any Academy events or programs, in person or virtually,"" for the next decade. 

Wi…",2022-04-09 21:25:18+00:00,Florida/California,Twitter for Android,0,0,0,0
3,GaelKetcha,@frenchgangbah Dixit #JadaSmith,2022-04-09 21:21:17+00:00,"Littoral, Cameroon",Twitter for Android,0,0,0,0
4,JanMeatloaf,"#willsmith checks into a #rehab centre of sorts…..my friend, you need to check yourself into divorce court and shed… https://t.co/XCILHyI2nv",2022-04-09 21:19:44+00:00,,Twitter for iPhone,2,0,0,0
5,Nia4America,#JadaPinkettSmith #jadasmith #JadaPinkett #jadaistoxic #jada #willowsmith #WillSmith #FreeWillSmith #JadenSmith https://t.co/mWfWUGK58N,2022-04-09 21:14:13+00:00,United States,Twitter for iPhone,0,0,0,0
6,eses1976,"#WillSmith 
#jadasmith 🙂 https://t.co/0EmPBhiKkQ",2022-04-09 21:11:40+00:00,,Twitter for Android,1,0,0,0
7,ivbaoshi,RT @mimisdaughter: Sending love to Jada Smith. I hope she's okay @jadapsmith #JadaPinkettSmith #jadasmith https://t.co/8FM8485mLW,2022-04-09 21:10:35+00:00,When the Time is Right,Twitter Web App,0,0,0,0
