,user,text,time,location,source,like_count,retweet_count
89,MurrayDare,"How does the unprecedented interest after Will Smith’s slap during the Oscars affect people with alopecia?

Read mo… https://t.co/yzYJjIaQ6W",2022-04-18 12:16:56+00:00,"England, United Kingdom",Missinglettr,0,0
90,DrElizabethivy,#jadasmith just what kind of a mother are you!!🥵😳,2022-04-18 09:01:48+00:00,"Klerksdorp, South Africa",Twitter for iPhone,0,0
91,NoFoSkin,Back from retirement in Warzone! #warzone #cod #callofduty #warzoneclips #warzonefails #fails #TwitchStreamers… https://t.co/MtpRksgPIg,2022-04-18 09:00:00+00:00,,Twitter Web App,10,0
92,TCheriese,"RT @lovelyti: 50 cent says ""this will be the most expensive slap we’ve ever seen""

Any thoughts??

#50cent #ChrisRock #WillSmith #JadaSmith…",2022-04-18 06:24:22+00:00,"Atlanta, GA",Twitter Web App,0,3
93,wudadnoiz,RT @LettyCruzPezg: Toda la razón... La última es la peor 😱 #oscars #WillSmith #jadasmith  #malplan #10years https://t.co/0Wo8xFHT1c,2022-04-18 05:26:34+00:00,CA,Twitter for Android,0,3
94,andyvela0801,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-18 05:18:35+00:00,,Twitter for iPhone,0,163
95,WestpacTurna,@macysmynametoo @willsmith @JadaSmith Twerk if you can😁😁.,2022-04-18 02:19:24+00:00,"Lagos,Nigeria",Twitter for iPhone,0,0
96,Macysmynametoo,GET JIGGY WIT IT♥️ @willsmith @jadasmith https://t.co/K19Dm1XIxF,2022-04-18 02:16:19+00:00,urbn leaf,Twitter for iPhone,4,1
97,Tinamadx,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-17 23:08:42+00:00,"Centro, Montevideo, Uruguay",Twitter for Android,0,163
98,Odalyss_Lt,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-17 22:08:22+00:00,Tampico,Twitter for iPhone,0,163
99,v_mvallejo,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-17 21:57:47+00:00,,Twitter for Android,0,163
