,user,text,time,location,source,like_count,retweet_count
45,Cantata_Health,"A psychological breakdown of the slap-heard-round-the-world via @medpagetoday 

#healthcare #trauma #mentalhealth… https://t.co/wu5hNB5ZUF",2022-04-22 17:45:00+00:00,"Austin, TX",Zoho Social,0,0
46,frpnet,"Shadowrun diyip bağrımıza bastığımız, sonra da izleyip hayal kırıklığına uğradığımız Bright filminin devam filmi ip… https://t.co/LMeto3qxxa",2022-04-22 17:44:21+00:00,Türkiye,TweetDeck,1,0
47,Zaira_Romero01,"RT @ecuavisa: 🔴 #JadaPinkett cuenta con una serie de Facebook llamada #RedTableTalk 🎬, en el que declaró por primera vez sobre la cachetada…",2022-04-22 17:42:01+00:00,,Twitter Web App,0,6
48,champdumonde,Will Smith moving on to marry Amber Heard would seem in line with how crazy reality has gotten #johnnydepp #WillSmith #amberheard,2022-04-22 17:40:31+00:00,Stockholm,Twitter for iPhone,0,0
49,noticiasbigbang,Jada Pinkett se pronuncia sobre su familia tras cachetada de Will Smith a Chris Rock #Oscar #WillSmith #ChrisRock… https://t.co/PUAQWBaDQp,2022-04-22 17:40:09+00:00,Ciudad de México,WordPress.com,1,0
50,Serch_Esparza,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:39:29+00:00,,Twitter for Android,0,39
51,ecuavisa,"🔴 #JadaPinkett cuenta con una serie de Facebook llamada #RedTableTalk 🎬, en el que declaró por primera vez sobre la… https://t.co/PbjZnEYVjs",2022-04-22 17:37:50+00:00,Ecuador,Twitter Web App,8,6
52,ErickCa30372285,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:36:54+00:00,,Twitter for Android,0,39
53,tati_nass,"RT @TheRealMelissaE: If Hollywood is going to go to such great lengths to cancel a Black man, who had a moment- one single slap, out in the…",2022-04-22 17:36:47+00:00,Australia,Twitter for iPhone,0,3101
54,Sonali00203682,"RT @mid_day: #ICYMI Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls 

 https:/…",2022-04-22 17:36:33+00:00,"Pune, India",Twitter for Android,0,352
55,CarlinRL_,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:36:26+00:00,GuayaKill,Twitter Web App,0,39
56,fansofshehnaaz,"RT @mid_day: #ICYMI: Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls

@ishehna…",2022-04-22 17:36:25+00:00,India,Twitter for Android,0,652
57,sidnaaz2408,"RT @mid_day: #ICYMI Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls 

 https:/…",2022-04-22 17:35:37+00:00,,Twitter Web App,0,352
58,AshaSha06902447,"RT @mid_day: #ICYMI Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls 

 https:/…",2022-04-22 17:35:16+00:00,,Twitter for Android,0,352
59,afalcon89,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:34:17+00:00,,Twitter for Android,0,39
60,Ladii_Lynne,"RT @Vast_Tanjiro: #JusticeForJohnnyDepp 
#AmberTurd 
#WillSmith 
#JohnnyDeppIsInnocent
This is what female narcissistic abusers do by the w…",2022-04-22 17:33:42+00:00,"New Jersey, USA",Twitter for Android,0,14
61,robin_sentell,@AJLo51319225 @ellisgreg @POTUS #WillSmith needs to join him. Not all DV is physical.,2022-04-22 17:33:28+00:00,"New York, NY",Twitter Web App,0,0
62,zeldur1,"RT @TheRealMelissaE: If Hollywood is going to go to such great lengths to cancel a Black man, who had a moment- one single slap, out in the…",2022-04-22 17:33:12+00:00,"Bristol, England",Twitter for iPhone,0,3101
63,fluttercup,"RT @TheRealMelissaE: If Hollywood is going to go to such great lengths to cancel a Black man, who had a moment- one single slap, out in the…",2022-04-22 17:33:11+00:00,Godric's Hollow,Twitter for Android,0,3101
64,shehnaazpankha,"RT @mid_day: #ICYMI Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls 

 https:/…",2022-04-22 17:32:25+00:00,,Twitter for Android,0,352
65,betancourthere,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:31:58+00:00,"Puebla, México",Twitter for Android,0,39
66,Shalukijaanshe1,"RT @mid_day: #ICYMI Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls 

 https:/…",2022-04-22 17:31:56+00:00,,Twitter for Android,0,352
67,twiTT3rIsUnC001,"The relationship these brothers have will melt your heart 😢

#meme #memes #funny #dankmemes #memesdaily #funnymemes… https://t.co/Q5ajg4ebh4",2022-04-22 17:31:51+00:00,Fresh Memes HQ,Twitter Web App,0,0
68,tavotrvzo,Manchips quedaste degollada @willsmith,2022-04-22 17:31:10+00:00,"Quito, Ecuador",Twitter for Android,0,0
69,Sijuade18627679,"What if G.I Jane 2 actually does come out 🫠
#WillSmith #willsmithslap",2022-04-22 17:30:04+00:00,,Twitter for Android,0,0
70,PunkedForever,"“Fresh Prints” 2k Generative Art-drop by PunkedForever.

Price: 0.01 ETH
Low Gas Contract: Verified ✅
Mint:… https://t.co/59A7OXD42p",2022-04-22 17:30:00+00:00,🔴 ERC721A - MINT is Live 👉🏼,TweetDeck,6,0
71,AparnaS89340817,"RT @mid_day: #ICYMI Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls 

 https:/…",2022-04-22 17:29:43+00:00,,Twitter for Android,0,352
72,sidkinaaz09,"RT @mid_day: #ICYMI Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls 

 https:/…",2022-04-22 17:29:10+00:00,Somewhere,Twitter for Android,0,352
73,CloutNewsMedia,"Chris Rock Getting Slapped is Cool; But Not By Will Smith Says Logan Paul

#LoganPaul #ChrisRock #WillSmith… https://t.co/eU50iFKDe1",2022-04-22 17:28:46+00:00,United States,WordPress.com,0,0
74,pieromano,"RT @O_Strunz: Will Smith e la moglie Jada Pinkett stanno per divorziare per quello che è accaduto durante la notte degli #Oscar, ma anche a…",2022-04-22 17:27:52+00:00,naples,Twitter for iPhone,0,1
75,YakuzitaShelby,"WillSmith y JohnnyDepp son el recordatorio para todos los hombres de que puedes gozar de buena apariencia, tener to… https://t.co/veO0e6Xj8C",2022-04-22 17:27:26+00:00,Baker street ,Twitter for iPhone,4,0
76,CristoJesus19,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:26:37+00:00,,Twitter for iPhone,0,39
77,Adsudafgudahoe,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:26:07+00:00,"Distrito Federal, México",Twitter for iPhone,0,39
78,Original_Blood3,"RT @WallHouston03: 1st they go after #WillSmith after his fake @$$ slap that was used 2 get back his masculinity and, distract us. 2nd, the…",2022-04-22 17:25:51+00:00,,Twitter Web App,0,2
79,FranciscoRiv_,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:24:43+00:00,Torreón México/ Houston Texas ,Twitter Web App,0,39
80,LorenPAlvarez,"@MashiRafael #WillSmith y #Batman mis superhéroes favoritos!!!
@ivansaquicela mi reacción ante tu pobre y triste de… https://t.co/4NdB9EJBjD",2022-04-22 17:24:42+00:00,,Twitter for iPhone,1,1
81,nandexpy,@JOSEESCAURIZA lo mismo que @willsmith no merecen,2022-04-22 17:24:37+00:00,,Twitter Web App,0,0
82,ShabanaTagari,"RT @mid_day: #ICYMI Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls 

 https:/…",2022-04-22 17:24:21+00:00,"London, England",Twitter for Android,0,352
83,Police_car1,@theSamStone77 @Dubhghlas @willsmith @glowforge that never happened,2022-04-22 17:24:07+00:00,,Twitter for Android,0,0
84,qooldad1978,"#X goin give it you!

#WillSmith #ChrisRock #BlackCelebrities #Controlled #perspective https://t.co/HMQYmCysVY",2022-04-22 17:23:56+00:00,Everywhere. Anywhere. Nowhere.,Twitter for Android,1,0
85,Abel46071140,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:23:13+00:00,,Twitter for Android,0,39
86,MCWARLLC,"#WillSmith😎 has publicly apologize to Chris Rock, ""Chris, I was out of line and I was wrong"". 🎥 

Was his apology w… https://t.co/9Hc81b3exg",2022-04-22 17:22:33+00:00,"Atlanta, Georgia",Cloud Campaign,0,0
87,MaggieHaines9,"RT @TheRealMelissaE: If Hollywood is going to go to such great lengths to cancel a Black man, who had a moment- one single slap, out in the…",2022-04-22 17:22:21+00:00,,Twitter Web App,0,3101
88,benbolt504,"RT @TheRealMelissaE: If Hollywood is going to go to such great lengths to cancel a Black man, who had a moment- one single slap, out in the…",2022-04-22 17:22:21+00:00,"West Seneca, NY",Twitter for Android,0,3101
89,nancyguerin1991,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 17:21:21+00:00,Paraguay,Twitter for Android,0,39
